"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity:0","Velocity:1","Velocity:2","Coordinates:0","Coordinates:1","Coordinates:2","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Exact Pressure:0","Exact Pressure:1","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Temperature:0","Exact Temperature:1","Mach_error","Points:0","Points:1","Points:2"
1.16120601e+00,8.06395508e+02,-1.20746659e-03,0.00000000e+00,5.30000562e+05,1.00000539e+05,3.00001495e+02,1.99999201e+00,1.90827109e-06,6.94446543e+02,-1.03981847e-03,0.00000000e+00,-2.71878732e-01,3.00000000e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-7.98702240e-06,-2.71878719e-01,3.00000012e-01,0.00000000e+00
1.16120541e+00,8.06395630e+02,-6.64826657e-04,0.00000000e+00,5.30000188e+05,1.00000289e+05,3.00000885e+02,1.99999511e+00,1.04417745e-06,6.94446960e+02,-5.72516766e-04,0.00000000e+00,-3.00000000e-01,3.00000008e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-4.88758087e-06,-3.00000012e-01,3.00000012e-01,0.00000000e+00
1.16121650e+00,8.06399658e+02,-2.96265702e-03,0.00000000e+00,5.30005500e+05,1.00002352e+05,3.00004211e+02,1.99997509e+00,8.39318909e-06,6.94443841e+02,-2.55132204e-03,0.00000000e+00,-3.00000000e-01,2.65761475e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-2.49147415e-05,-3.00000012e-01,2.65761465e-01,0.00000000e+00
1.16122293e+00,8.06401733e+02,-4.68497165e-03,0.00000000e+00,5.30008688e+05,1.00003672e+05,3.00006531e+02,1.99996150e+00,1.31216175e-05,6.94441790e+02,-4.03451526e-03,0.00000000e+00,-2.74830043e-01,2.47335300e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-3.85046005e-05,-2.74830043e-01,2.47335300e-01,0.00000000e+00
1.16119921e+00,8.06397278e+02,1.95779018e-02,0.00000000e+00,5.29995438e+05,9.99973281e+04,2.99993591e+02,2.00003433e+00,-9.54504321e-06,6.94452140e+02,1.68600716e-02,0.00000000e+00,-2.99921364e-01,1.43352717e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,3.43322754e-05,-2.99921364e-01,1.43352717e-01,0.00000000e+00
1.16121900e+00,8.06400574e+02,-3.83968093e-03,0.00000000e+00,5.30006688e+05,1.00002812e+05,3.00004974e+02,1.99997067e+00,1.00495245e-05,6.94443168e+02,-3.30658747e-03,0.00000000e+00,-3.00000000e-01,2.38954215e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-2.93254852e-05,-3.00000012e-01,2.38954216e-01,0.00000000e+00
1.16119921e+00,8.06397278e+02,1.95568446e-02,0.00000000e+00,5.29995438e+05,9.99973281e+04,2.99993591e+02,2.00003433e+00,-9.53480412e-06,6.94452135e+02,1.68419376e-02,0.00000000e+00,-3.00000000e-01,1.43423295e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,3.43322754e-05,-3.00000012e-01,1.43423289e-01,0.00000000e+00
1.16176522e+00,8.06529175e+02,-1.06581468e-02,0.00000000e+00,5.30215938e+05,1.00103461e+05,3.00165710e+02,1.99881375e+00,3.69507005e-04,6.94227338e+02,-9.17409701e-03,0.00000000e+00,-2.25291818e-01,-6.00589812e-02,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.18625164e-03,-2.25291818e-01,-6.00589812e-02,0.00000000e+00
1.16179323e+00,8.06525452e+02,8.96572024e-02,0.00000000e+00,5.30230375e+05,1.00112945e+05,3.00186920e+02,1.99868584e+00,4.03383834e-04,6.94207394e+02,7.71713932e-02,0.00000000e+00,-2.31660813e-01,-1.72485993e-03,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.31416321e-03,-2.31660813e-01,-1.72485993e-03,0.00000000e+00
1.16117072e+00,8.06389465e+02,-1.08473385e-02,0.00000000e+00,5.29985875e+05,9.99929219e+04,2.99987732e+02,2.00008392e+00,-2.52760110e-05,6.94462422e+02,-9.34779572e-03,0.00000000e+00,-3.00000000e-01,-2.43932725e-02,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,8.39233398e-05,-3.00000012e-01,-2.43932717e-02,0.00000000e+00
