"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.3095060216,       2.530446254,       2.298662287,       5.424925437
          0,           0,           1,     -0.4316547637,       2.412102582,       2.154827512,       5.311555013
          0,           0,           2,     -0.4993187654,       2.358575955,       2.084342684,       5.250862179
          0,           0,           3,     -0.5385507255,       2.325356287,       2.055145039,       5.208114208
          0,           0,           4,     -0.5627681018,        2.29633389,       2.044643935,       5.173761474
          0,           0,           5,     -0.5756041554,       2.272693255,        2.04125692,       5.150024707
          0,           0,           6,     -0.5789746935,        2.25567537,       2.038032495,       5.136951217
          0,           0,           7,     -0.5766470628,       2.243561236,       2.030532912,       5.130560898
          0,           0,           8,     -0.5712712593,       2.234866333,       2.017497355,       5.127897105
          0,           0,           9,     -0.5644844875,        2.22899499,       2.000328841,       5.127517299
          0,           0,          10,      -0.557537593,       2.225320175,       1.982016601,       5.128244772
          0,           0,          11,     -0.5514847485,       2.222882978,       1.966235715,       5.128866386
          0,           0,          12,     -0.5470146616,       2.220968766,       1.956124931,        5.12866654
          0,           0,          13,     -0.5443784747,        2.21935575,       1.953096926,       5.127582654
          0,           0,          14,     -0.5433840713,       2.218331236,       1.956354268,        5.12607367
          0,           0,          15,     -0.5433557759,       2.218586888,       1.963777815,        5.12494499
          0,           0,          16,     -0.5432827359,       2.221075364,       1.972980541,       5.125189458
          0,           0,          17,     -0.5420691088,       2.226682752,       1.981970605,       5.127745035
          0,           0,          18,     -0.5388650914,       2.235915219,       1.989367893,       5.133229176
          0,           0,          19,     -0.5334075533,       2.248448211,       1.994534386,       5.141588949
          0,           0,          20,     -0.5259132561,       2.263375862,       1.997548662,       5.152250784
          0,           0,          21,     -0.5168671122,       2.279552657,       1.999152168,       5.164401974
          0,           0,          22,     -0.5067906676,       2.295967157,       2.000479563,       5.177249745
          0,           0,          23,     -0.4962522026,       2.311690069,       2.002642781,       5.190020326
          0,           0,          24,     -0.4857344259,        2.32600556,       2.006366524,       5.202064109
          0,           0,          25,     -0.4756780963,       2.338391272,       2.011878841,       5.212849096
          0,           0,          26,      -0.466374075,       2.348608875,        2.01890947,       5.222058888
          0,           0,          27,     -0.4579486853,       2.356696816,       2.026889714,       5.229608618
          0,           0,          28,     -0.4504302123,       2.362877429,        2.03514154,       5.235580759
          0,           0,          29,     -0.4437379553,       2.367494898,       2.043097576,       5.240196705
          0,           0,          30,     -0.4377841662,       2.370876464,       2.050328136,       5.243697036
          0,           0,          31,     -0.4325204616,       2.373228564,       2.056587143,       5.246260715
          0,           0,          32,     -0.4279182243,       2.374656655,       2.061810189,       5.248021088
          0,           0,          33,     -0.4239726291,       2.375194488,       2.066027384,        5.24905487
          0,           0,          34,     -0.4206477121,       2.374903532,       2.069379989,       5.249445132
          0,           0,          35,     -0.4178779403,        2.37390639,       2.072062062,       5.249291206
          0,           0,          36,       -0.41551135,       2.372444992,       2.074339433,       5.248771239
          0,           0,          37,     -0.4133698758,       2.370806856,       2.076473998,       5.248086766
          0,           0,          38,     -0.4112773086,       2.369263308,       2.078669719,       5.247432218
          0,           0,          39,     -0.4090891018,       2.368023051,       2.081034061,       5.246963651
          0,           0,          40,     -0.4067177365,       2.367217651,       2.083562418,       5.246794439
          0,           0,          41,     -0.4041282045,       2.366908698,       2.086201502,       5.247005828
          0,           0,          42,     -0.4013626939,       2.367069164,       2.088855283,       5.247612271
          0,           0,          43,     -0.3985338062,       2.367594253,       2.091432215,       5.248561431
          0,           0,          44,     -0.3957895695,       2.368332752,       2.093862003,       5.249752855
          0,           0,          45,     -0.3933008992,       2.369090758,       2.096086533,       5.251036882
          0,           0,          46,     -0.3912179622,       2.369676645,       2.098069333,       5.252252007
          0,           0,          47,     -0.3896463607,       2.369929477,       2.099782903,       5.253252274
          0,           0,          48,     -0.3886421164,       2.369732098,       2.101192935,       5.253919465
          0,           0,          49,     -0.3882095425,       2.369024492,       2.102253229,       5.254174664
          0,           0,          50,     -0.3883041441,       2.367813167,        2.10291937,       5.253991936
          0,           0,          51,     -0.3888522535,       2.366158862,       2.103152971,       5.253388414
          0,           0,          52,     -0.3897571915,       2.364170507,       2.102934868,       5.252420545
          0,           0,          53,     -0.3909275458,       2.361969556,        2.10226335,       5.251155007
          0,           0,          54,     -0.3922938018,       2.359659769,       2.101149164,        5.24964583
          0,           0,          55,     -0.3938003554,       2.357329763,       2.099623482,       5.247941086
          0,           0,          56,     -0.3954260031,       2.355018501,       2.097718873,       5.246055339
          0,           0,          57,     -0.3971730075,       2.352726551,       2.095467543,       5.243982757
          0,           0,          58,     -0.3990625911,       2.350422959,       2.092890803,       5.241702139
          0,           0,          59,     -0.4011292511,       2.348055166,       2.089995256,       5.239182797
