"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.1472556997,       2.990737682,       2.745322315,       5.881687159
          0,           0,           1,     0.05298058447,       2.907869356,       2.635012068,       5.799536097
          0,           0,           2,     0.01861482416,       2.892503224,       2.602117564,       5.771074275
          0,           0,           3,   -0.006312761331,       2.872785409,       2.588179538,       5.738488181
          0,           0,           4,     -0.0284994932,       2.843959723,       2.577099976,       5.700761673
          0,           0,           5,    -0.04179692452,       2.813302452,       2.567463127,       5.666801467
          0,           0,           6,    -0.04321361994,       2.785702197,       2.557236861,       5.641458969
          0,           0,           7,    -0.03431332036,       2.765874096,       2.543812046,       5.627386928
          0,           0,           8,    -0.01936201331,       2.757487239,       2.526551625,       5.625110222
          0,           0,           9,   -0.002300940585,       2.759567755,       2.507382617,       5.631508282
          0,           0,          10,     0.01452394084,       2.768190375,       2.489877112,       5.642063031
          0,           0,          11,      0.0301412572,       2.780237939,       2.477887306,       5.654125213
          0,           0,          12,     0.04423659232,       2.794133021,       2.474193669,       5.666916097
          0,           0,          13,     0.05633437785,       2.808290683,       2.479193398,       5.679391567
          0,           0,          14,     0.06585364503,       2.820929275,       2.491058929,       5.690031759
          0,           0,          15,     0.07271781151,       2.831247351,       2.507265061,       5.698318246
          0,           0,          16,     0.07742636356,       2.839663488,       2.525613484,       5.705119043
          0,           0,          17,     0.08063795354,       2.846877391,       2.544033652,       5.711572559
          0,           0,          18,     0.08270340599,       2.852927051,       2.560319136,       5.717918587
          0,           0,          19,      0.0837086196,       2.857310973,       2.572598022,       5.723585883
          0,           0,          20,     0.08367528565,       2.859684653,       2.579699762,       5.727933616
          0,           0,          21,     0.08282286829,       2.860342215,       2.581528182,       5.730839362
          0,           0,          22,     0.08144794548,       2.859962883,       2.578861069,       5.732484401
          0,           0,          23,     0.07965006587,       2.859010278,        2.57286648,       5.732826623
          0,           0,          24,     0.07723581024,       2.857400293,       2.564697432,       5.731404501
          0,           0,          25,     0.07383600753,       2.854677518,        2.55515435,       5.727570991
          0,           0,          26,     0.06913129291,       2.850376634,        2.54475074,       5.720883266
          0,           0,          27,     0.06297667604,       2.844286067,       2.533767762,       5.711304107
          0,           0,          28,     0.05542195541,       2.836498647,       2.522354167,       5.699198833
          0,           0,          29,     0.04662208157,       2.827285354,        2.51052555,       5.685164697
          0,           0,          30,     0.03676635017,       2.816973789,       2.498217377,       5.669878135
          0,           0,          31,     0.02602616149,       2.805853692,       2.485348988,       5.653968909
          0,           0,          32,      0.0145642237,       2.794160669,        2.47191195,       5.637973842
          0,           0,          33,    0.002522555909,       2.782063855,        2.45797387,       5.622293097
          0,           0,          34,   -0.009956352133,       2.769703801,       2.443664477,       5.607209048
          0,           0,          35,    -0.02273328141,       2.757213483,       2.429112761,       5.592897834
          0,           0,          36,    -0.03565163199,       2.744747221,       2.414438793,       5.579470302
          0,           0,          37,    -0.04854568543,       2.732474036,        2.39974677,       5.566983331
          0,           0,          38,    -0.06126123423,       2.720549939,       2.385130287,       5.555434259
          0,           0,          39,    -0.07366437104,        2.70909238,        2.37068403,       5.544763108
          0,           0,          40,    -0.08566335554,         2.6981628,       2.356499611,       5.534861816
          0,           0,          41,    -0.09721374168,       2.687760482,       2.342663537,       5.525589881
          0,           0,          42,     -0.1083136704,       2.677833163,       2.329256643,       5.516800297
          0,           0,          43,     -0.1189954171,       2.668292641,       2.316352167,       5.508359563
          0,           0,          44,     -0.1293175044,       2.659027346,       2.304011827,       5.500154192
          0,           0,          45,     -0.1393590785,       2.649909678,       2.292278561,       5.492084891
          0,           0,          46,     -0.1492142046,       2.640803313,       2.281169601,       5.484058121
          0,           0,          47,     -0.1589840432,       2.631573443,        2.27067406,       5.475982548
          0,           0,          48,     -0.1687679672,       2.622098846,       2.260754711,       5.467771358
          0,           0,          49,     -0.1786555324,       2.612282427,       2.251352431,       5.459347809
          0,           0,          50,     -0.1887204573,       2.602057584,       2.242389503,       5.450651036
          0,           0,          51,     -0.1990189357,       2.591389665,       2.233771481,       5.441639093
          0,           0,          52,     -0.2095902164,       2.580272822,       2.225388632,        5.43228907
          0,           0,          53,     -0.2204598186,       2.568723425,       2.217118691,       5.422593641
          0,           0,          54,     -0.2316434995,       2.556771569,       2.208830424,       5.412555248
          0,           0,          55,     -0.2431532742,         2.5444504,       2.200387202,       5.402177151
          0,           0,          56,     -0.2549985237,       2.531789014,       2.191656201,       5.391458335
          0,           0,          57,     -0.2671942938,        2.51879987,       2.182509921,       5.380382916
          0,           0,          58,     -0.2797610424,       2.505476153,       2.172830031,        5.36891843
          0,           0,          59,     -0.2927313554,       2.491784443,       2.162505111,       5.357010375
          0,           0,          60,     -0.3061457005,       2.477669165,       2.151434909,       5.344588102
          0,           0,          61,     -0.3200529611,       2.463054715,       2.139528716,       5.331567462
          0,           0,          62,     -0.3345091352,       2.447850549,       2.126704646,        5.31785578
          0,           0,          63,     -0.3495748854,       2.431957801,       2.112889585,       5.303357759
          0,           0,          64,     -0.3653126752,       2.415276463,       2.098019638,        5.28798139
          0,           0,          65,      -0.381783882,       2.397711814,       2.082040746,       5.271642906
