"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.2295904433,       3.136396796,      -10.46389337,       5.964021902
          0,           0,           1,      0.1760252102,       3.033635842,       2.360771466,        5.88755274
          0,           0,           2,      0.1651226676,       3.021845215,       2.593094446,       5.854110843
          0,           0,           3,      0.1561853055,       3.022577318,       2.705581648,       5.814824064
          0,           0,           4,      0.1666779431,       3.035542939,        2.76606187,       5.794325612
          0,           0,           5,      0.1986410121,       3.064635111,       2.796649882,       5.808687165
          0,           0,           6,      0.2405274818,       3.100074524,       2.807310032,       5.846919753
          0,           0,           7,      0.2817114381,       3.135193305,       2.803419289,       5.892711147
          0,           0,           8,      0.3185308427,       3.167409093,       2.788492545,       5.937353095
          0,           0,           9,      0.3495875524,       3.195093743,       2.765720307,       5.976209777
          0,           0,          10,      0.3728396126,       3.216814507,       2.738565662,         6.0062987
          0,           0,          11,      0.3875150909,       3.231654165,       2.711317038,       6.026798798
          0,           0,          12,      0.3934736539,       3.239212583,       2.687840615,       6.037759943
          0,           0,          13,      0.3911012719,       3.239537949,        2.67065596,       6.039666714
          0,           0,          14,      0.3811166048,       3.232985122,       2.660019629,       6.033190587
          0,           0,          15,      0.3644541581,       3.220139278,       2.654089201,       6.019145845
          0,           0,          16,      0.3423148193,       3.201841497,       2.650050744,       5.998611273
          0,           0,          17,      0.3160847398,        3.17916197,       2.645197463,       5.972916257
          0,           0,          18,      0.2873150558,        3.15336466,       2.637555232,       5.943629666
          0,           0,          19,      0.2575939965,       3.125798516,       2.625995096,       5.912442446
          0,           0,          20,      0.2283474945,       3.097728734,       2.610157977,       5.880972007
          0,           0,          21,      0.2006237615,       3.070146155,       2.590364609,       5.850512841
          0,           0,          22,      0.1749645166,       3.043643472,       2.567562278,       5.821830175
          0,           0,          23,      0.1514467364,       3.018442518,       2.543273783,       5.795128243
          0,           0,          24,      0.1298904477,       2.994584093,       2.519465333,       5.770253474
          0,           0,          25,       0.110147485,       2.972203868,       2.498260007,       5.747062651
          0,           0,          26,     0.09234953939,       2.951772757,       2.481485512,       5.725789496
          0,           0,          27,     0.07704404408,       2.934194596,       2.470230776,       5.707267101
          0,           0,          28,     0.06506775847,       2.920673488,       2.464545962,       5.692812216
          0,           0,          29,     0.05733172341,       2.912376432,       2.463614443,       5.683864612
          0,           0,          30,      0.0544906242,       2.909987932,       2.466157856,       5.681411986
          0,           0,          31,     0.05662691268,       2.913391216,       2.470820954,       5.685487801
          0,           0,          32,     0.06315479837,       2.921657808,       2.476432666,       5.695082512
          0,           0,          33,     0.07296200073,       2.933326256,       2.482104377,       5.708483662
          0,           0,          34,     0.08469185342,        2.94678701,       2.487223608,       5.723789242
          0,           0,          35,     0.09701964077,       2.960587554,       2.491406036,       5.739312158
          0,           0,          36,      0.1088329415,       2.973587766,       2.494439282,       5.753769763
          0,           0,          37,       0.119302762,       2.984988148,       2.496235535,       5.766300843
          0,           0,          38,      0.1278770438,        2.99428642,       2.496790189,       5.776396021
          0,           0,          39,      0.1342342731,       3.001207823,       2.496151395,       5.783804613
          0,           0,          40,      0.1382259387,       3.005636305,        2.49439275,       5.788450573
          0,           0,          41,      0.1398270121,       3.007560766,       2.491602428,       5.790372193
          0,           0,          42,      0.1390913144,       3.007032596,       2.487866196,       5.789674936
          0,           0,          43,      0.1361249241,       3.004142112,       2.483266873,        5.78650726
          0,           0,          44,      0.1310673224,       2.999004771,       2.477883449,       5.781045876
          0,           0,          45,      0.1240821668,       2.991756898,       2.471793339,       5.773490815
          0,           0,          46,      0.1153542868,       2.982556775,       2.465077288,         5.7640657
          0,           0,          47,      0.1050903242,       2.971588751,       2.457822929,       5.753020963
          0,           0,          48,     0.09351739829,       2.959062528,       2.450126929,       5.740629142
          0,           0,          49,     0.08088598801,       2.945218424,       2.442094557,        5.72718979
          0,           0,          50,     0.06746524205,       2.930321976,       2.433838331,       5.713019484
          0,           0,          51,     0.05353643959,       2.914657083,        2.42547429,       5.698440614
          0,           0,          52,     0.03938371741,       2.898516269,       2.417116713,       5.683767172
          0,           0,          53,     0.02528290036,       2.882189502,       2.408871196,       5.669289387
          0,           0,          54,     0.01148911979,       2.865952571,        2.40082638,       5.655259031
          0,           0,          55,   -0.001775639611,       2.850055854,       2.393045945,       5.641877278
          0,           0,          56,    -0.01433430933,       2.834713566,        2.38556258,       5.629286162
          0,           0,          57,    -0.02606551673,       2.820093057,       2.378373924,        5.61756344
          0,           0,          58,    -0.03691170979,       2.806304724,       2.371442268,       5.606721324
          0,           0,          59,    -0.04688304795,       2.793393993,       2.364697707,        5.59670919
          0,           0,          60,    -0.05605554026,       2.781337464,       2.358044593,       5.587420339
          0,           0,          61,    -0.06456302205,       2.770044994,       2.351369709,       5.578702351
          0,           0,          62,    -0.07258376757,       2.759368345,       2.344550934,       5.570370184
          0,           0,          63,    -0.08032402279,       2.749115295,       2.337465349,       5.562220228
          0,           0,          64,    -0.08800089957,       2.739066849,        2.32999593,       5.554043917
          0,           0,          65,    -0.09582726216,       2.728994606,       2.322036199,       5.545639282
          0,           0,          66,     -0.1039999719,       2.718675919,       2.313492995,       5.536819783
          0,           0,          67,     -0.1126920216,       2.707905448,       2.304287766,       5.527420316
          0,           0,          68,     -0.1220482201,       2.696502887,       2.294356663,       5.517300782
          0,           0,          69,     -0.1321841343,       2.684316846,       2.283649482,       5.506347281
          0,           0,          70,     -0.1431858989,       2.671226926,       2.272130143,       5.494473096
          0,           0,          71,      -0.155112097,       2.657143315,       2.259775433,       5.481617844
          0,           0,          72,     -0.1679961446,       2.642005655,       2.246573905,       5.467746194
          0,           0,          73,     -0.1818482843,       2.625781904,       2.232525899,       5.452846987
          0,           0,          74,     -0.1966576516,       2.608467104,       2.217643513,       5.436932064
          0,           0,          75,     -0.2123939574,       2.590082538,       2.201950824,       5.420035285
          0,           0,          76,      -0.229009368,       2.570674746,       2.185483656,       5.402211152
          0,           0,          77,     -0.2464402323,       2.550314505,       2.168289299,       5.383533336
          0,           0,          78,     -0.2646092327,       2.529095143,       2.150425592,       5.364092537
          0,           0,          79,     -0.2834288011,       2.507129453,       2.131958652,       5.343992894
          0,           0,          80,     -0.3028046547,        2.48454552,       2.112960497,       5.323347795
          0,           0,          81,     -0.3226401526,       2.461480952,       2.093505579,       5.302274504
          0,           0,          82,     -0.3428411861,        2.43807562,       2.073666815,        5.28088784
          0,           0,          83,     -0.3633210454,       2.414463538,       2.053511486,       5.259293593
          0,           0,          84,     -0.3840048385,       2.390764574,       2.033097114,       5.237582246
          0,           0,          85,     -0.4048329677,       2.367076952,       2.012467774,       5.215823722
          0,           0,          86,     -0.4257632888,       2.343471505,       1.991651282,       5.194063815
          0,           0,          87,     -0.4467717296,        2.31998842,       1.970657571,       5.172322711
          0,           0,          88,     -0.4678514602,       2.296636786,        1.94947836,       5.150595654
          0,           0,          89,     -0.4890109953,       2.273396742,       1.928087982,       5.128855396
          0,           0,          90,     -0.5102718364,       2.250223411,       1.906444991,       5.107055648
          0,           0,          91,      -0.531663997,       2.227053462,       1.884497885,        5.08513706
          0,           0,          92,     -0.5532244375,        2.20381018,       1.862187201,       5.063030823
          0,           0,          93,     -0.5749946847,       2.180408944,       1.839449608,       5.040662905
          0,           0,          94,     -0.5970190798,        2.15676205,       1.816222133,       5.017957809
          0,           0,          95,     -0.6193435329,       2.132782686,       1.792446088,       4.994841728
          0,           0,          96,     -0.6420145955,       2.108388135,       1.768070584,       4.971245184
          0,           0,          97,     -0.6650786023,       2.083502425,       1.743055466,       4.947105352
          0,           0,          98,     -0.6885806953,       2.058058625,       1.717373636,        4.92236815
          0,           0,          99,     -0.7125635077,       2.032001037,       1.691012604,       4.896990374
          0,           0,         100,     -0.7370655368,       2.005287282,       1.663975457,       4.870941755
          0,           0,         101,     -0.7621192131,        1.97789027,       1.636281109,       4.844206945
          0,           0,         102,     -0.7877488061,       1.949799945,        1.60796389,       4.816787289
          0,           0,         103,     -0.8139683594,       1.921024592,        1.57907242,       4.788702195
          0,           0,         104,        -0.8407799,       1.891591483,       1.549667812,       4.759989818
          0,           0,         105,     -0.8681720832,       1.861546645,        1.51982116,       4.730706896
          0,           0,         106,     -0.8961195482,       1.830953477,       1.489610513,       4.700927388
          0,           0,         107,     -0.9245830933,       1.799890061,       1.459117398,       4.670739776
          0,           0,         108,     -0.9535108074,       1.768445073,       1.428423256,       4.640242882
