"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2940497204,       2.527443683,       2.264237117,       5.440381739
          0,           0,           1,     -0.2156504823,       2.636601516,       2.202169417,       5.496834123
          0,           0,           2,     -0.2486966175,       2.615442515,       2.163784764,       5.472815331
          0,           0,           3,     -0.2941316751,       2.573298349,       2.116327273,       5.429598141
          0,           0,           4,     -0.3601003348,       2.505173477,       2.052462012,       5.361439525
          0,           0,           5,     -0.4390763871,       2.420614297,       1.980644148,       5.278785391
          0,           0,           6,     -0.5221903631,       2.330568371,       1.904960177,       5.191465134
          0,           0,           7,     -0.6052527472,       2.240462346,       1.828652005,       5.104182122
          0,           0,           8,     -0.6869718623,       2.152041255,       1.752782413,       5.018436761
          0,           0,           9,      -0.767160276,       2.065650367,       1.677562643,        4.93452544
          0,           0,          10,     -0.8459284883,       1.981273798,       1.602903901,       4.852415587
          0,           0,          11,     -0.9234554611,       1.898809949,       1.528659373,       4.771976788
          0,           0,          12,     -0.9999321908,       1.818123818,       1.454683042,        4.69303763
          0,           0,          13,      -1.075540537,       1.739054227,       1.380856664,       4.615410586
          0,           0,          14,      -1.150463874,       1.661404538,       1.307071731,       4.538885079
          0,           0,          15,      -1.224878504,       1.584951831,       1.233237165,        4.46324265
          0,           0,          16,      -1.298954305,       1.509454429,       1.159273106,       4.388261922
          0,           0,          17,      -1.372850602,       1.434664508,       1.085111189,       4.313728306
          0,           0,          18,      -1.446714097,       1.360339271,       1.010691964,        4.23944019
          0,           0,          19,      -1.520676857,       1.286250345,      0.9359641534,       4.165214141
          0,           0,          20,       -1.59485497,       1.212190814,      0.8608843419,       4.090888257
          0,           0,          21,       -1.66934793,       1.137979515,      0.7854160995,       4.016323813
          0,           0,          22,       -1.74423874,       1.063462826,      0.7095294879,       3.941405418
          0,           0,          23,      -1.819594106,      0.9885147513,      0.6332011042,       3.866040569
          0,           0,          24,      -1.895465952,      0.9130353389,      0.5564129102,       3.790157514
          0,           0,          25,      -1.971892573,       0.836948372,      0.4791519954,       3.713703331
          0,           0,          26,      -2.048900234,      0.7601986593,      0.4014100398,       3.636641562
          0,           0,          27,      -2.126504589,      0.6827492682,      0.3231829218,       3.558950014
          0,           0,          28,      -2.204712153,      0.6045788237,      0.2444702917,       3.480618613
          0,           0,          29,      -2.283521692,      0.5256790093,      0.1652751663,       3.401647407
          0,           0,          30,      -2.362925506,      0.4460523314,     0.08560354076,       3.322044781
          0,           0,          31,      -2.442910607,      0.3657101596,    0.005464015715,       3.241825862
          0,           0,          32,      -2.523459757,      0.2846710335,    -0.07513256218,       3.161011134
          0,           0,          33,       -2.60455241,      0.2029592145,     -0.1561734476,       3.079625217
          0,           0,          34,      -2.686165532,      0.1206034469,     -0.2376443309,       2.997695823
          0,           0,          35,      -2.768274324,     0.03763590137,     -0.3195296611,       2.915252834
          0,           0,          36,      -2.850852863,    -0.04590873304,     -0.4018129554,       2.832327511
          0,           0,          37,      -2.933874649,     -0.1299940327,     -0.4844770946,       2.748951803
          0,           0,          38,      -3.017313089,      -0.214582523,      -0.567504603,       2.665157752
          0,           0,          39,      -3.101141914,     -0.2996362801,     -0.6508779103,       2.580976965
          0,           0,          40,       -3.18533553,      -0.385117465,     -0.7345795945,       2.496440174
          0,           0,          41,      -3.269869313,     -0.4709887997,      -0.818592602,       2.411576847
          0,           0,          42,      -3.354719858,     -0.5572139933,     -0.9029004451,       2.326414875
          0,           0,          43,      -3.439865173,     -0.6437581214,     -0.9874873728,       2.240980302
          0,           0,          44,      -3.525284839,     -0.7305879681,      -1.072338531,       2.155297112
          0,           0,          45,      -3.610960061,     -0.8176722856,      -1.157440024,       2.069387135
          0,           0,          46,       -3.69687379,     -0.9049820748,      -1.242779059,       1.983269883
          0,           0,          47,      -3.783010735,     -0.9924907672,      -1.328344002,        1.89696252
          0,           0,          48,      -3.869357328,      -1.080174359,      -1.414124385,       1.810479891
          0,           0,          49,      -3.955901691,      -1.168011511,      -1.500110918,       1.723834556
          0,           0,          50,      -4.042633565,      -1.255983587,      -1.586295469,       1.637036879
          0,           0,          51,      -4.129544208,      -1.344074647,       -1.67267103,       1.550095153
          0,           0,          52,      -4.216626286,      -1.432271385,      -1.759231646,       1.463015752
          0,           0,          53,      -4.303873741,      -1.520563022,      -1.845972348,       1.375803306
          0,           0,          54,      -4.391281655,      -1.608941168,      -1.932889057,       1.288460894
          0,           0,          55,      -4.478846101,      -1.697399636,       -2.01997849,       1.200990246
          0,           0,          56,         -4.566564,      -1.785934241,      -2.107238057,        1.11339195
          0,           0,          57,      -4.654432976,      -1.874542568,      -2.194665747,       1.025665658
          0,           0,          58,      -4.742451215,      -1.963223737,      -2.282260031,      0.9378102852
          0,           0,          59,      -4.830617339,      -2.051978159,      -2.370019751,      0.8498242012
          0,           0,          60,      -4.918930278,      -2.140807288,      -2.457944022,      0.7617054072
          0,           0,          61,      -5.007389163,      -2.229713395,      -2.546032142,      0.6734516951
          0,           0,          62,      -5.095993227,      -2.318699334,      -2.634283504,      0.5850607984
          0,           0,          63,      -5.184741723,      -2.407768346,      -2.722697521,      0.4965305088
          0,           0,          64,      -5.273633846,      -2.496923869,      -2.811273559,      0.4078587903
          0,           0,          65,      -5.362668675,      -2.586169363,      -2.900010878,      0.3190438732
          0,           0,          66,      -5.451845127,      -2.675508184,      -2.988908585,      0.2300843183
          0,           0,          67,      -5.541161922,      -2.764943456,      -3.077965597,      0.1409790729
          0,           0,          68,      -5.630617546,      -2.854477961,      -3.167180616,     0.05172752529
          0,           0,          69,       -5.72021025,      -2.944114075,       -3.25655209,    -0.03767047621
          0,           0,          70,      -5.809938034,      -3.033853719,      -3.346078229,     -0.1272146248
          0,           0,          71,      -5.899798636,      -3.123698285,      -3.435756969,     -0.2169040941
          0,           0,          72,      -5.989789552,      -3.213648628,       -3.52558597,     -0.3067376305
          0,           0,          73,      -6.079908024,      -3.303705071,      -3.615562675,     -0.3967134444
          0,           0,          74,      -6.170151077,      -3.393867369,      -3.705684234,      -0.486829371
          0,           0,          75,      -6.260515534,      -3.484134775,      -3.795947612,     -0.5770827774
          0,           0,          76,      -6.350998011,      -3.574505981,      -3.886349495,     -0.6674706208
          0,           0,          77,      -6.441594919,      -3.664979159,      -3.976886398,     -0.7579895226
          0,           0,          78,      -6.532302573,      -3.755552095,      -4.067554714,     -0.8486357111
          0,           0,          79,      -6.623117097,      -3.846222022,      -4.158350561,     -0.9394051613
          0,           0,          80,      -6.714034594,      -3.936985979,      -4.249270033,       -1.03029362
          0,           0,          81,      -6.805050916,      -4.027840329,      -4.340309074,       -1.12129645
          0,           0,          82,      -6.896162018,      -4.118781332,      -4.431463512,      -1.212408974
          0,           0,          83,      -6.987363666,      -4.209804983,      -4.522729234,      -1.303626229
          0,           0,          84,      -7.078651689,      -4.300906917,      -4.614102013,       -1.39494316
