"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.5422,646.75,130.58,0,6.4909e+05,2.0318e+05,458.96,0.9962,0.36849,0.0098039,0.0019608,0
1.4136,656.62,128.94,0,5.9686e+05,1.7539e+05,432.22,1.1358,0.26926,0.019608,0.0039216,0
1.4194,676.95,125.21,0,5.9892e+05,1.7279e+05,424.06,1.1748,0.25996,0.029412,0.0058824,0
1.4644,696.58,134.14,0,6.1841e+05,1.7863e+05,424.95,1.1722,0.28084,0.039216,0.0078431,0
1.4885,718.02,139.78,0,6.3009e+05,1.8014e+05,421.59,1.1939,0.28622,0.04902,0.0098039,0
1.5094,734.6,145.07,0,6.3997e+05,1.817e+05,419.35,1.2084,0.29177,0.058824,0.011765,0
1.5178,740.31,147.6,0,6.4374e+05,1.8241e+05,418.66,1.2125,0.29431,0.068627,0.013725,0
1.5187,749.71,148.63,0,6.4523e+05,1.8116e+05,415.56,1.2315,0.28986,0.078431,0.015686,0
1.5243,755.36,149.99,0,6.4797e+05,1.8137e+05,414.51,1.2378,0.29062,0.088235,0.017647,0
1.529,764.45,151.18,0,6.5087e+05,1.8092e+05,412.19,1.2522,0.289,0.098039,0.019608,0
1.5388,771.84,153.52,0,6.5539e+05,1.8166e+05,411.26,1.2579,0.29165,0.10784,0.021569,0
1.5412,773.99,154.32,0,6.5656e+05,1.8179e+05,410.92,1.2601,0.29212,0.11765,0.023529,0
1.5457,780.45,155.21,0,6.5904e+05,1.8169e+05,409.48,1.2691,0.29174,0.12745,0.02549,0
1.5512,784.54,156.15,0,6.616e+05,1.8214e+05,409.03,1.2719,0.29335,0.13725,0.027451,0
1.5564,790.2,157.33,0,6.642e+05,1.8226e+05,407.96,1.2785,0.29379,0.14706,0.029412,0
1.5578,792.11,158.04,0,6.6499e+05,1.8223e+05,407.53,1.2812,0.29369,0.15686,0.031373,0
1.5573,795.87,158.42,0,6.6535e+05,1.8157e+05,406.17,1.2898,0.29132,0.16667,0.033333,0
1.5609,800.9,159.21,0,6.6732e+05,1.8149e+05,405.05,1.2966,0.29103,0.17647,0.035294,0
1.5654,803.61,160.22,0,6.6932e+05,1.8194e+05,404.89,1.2977,0.29265,0.18627,0.037255,0
1.5669,806.98,160.87,0,6.7032e+05,1.817e+05,403.97,1.3034,0.29179,0.19608,0.039216,0
1.5693,808.7,161.43,0,6.7143e+05,1.819e+05,403.79,1.3045,0.29251,0.20588,0.041176,0
1.5688,809.51,161.47,0,6.7137e+05,1.8168e+05,403.43,1.3068,0.29171,0.21569,0.043137,0
1.5713,813.94,161.93,0,6.7284e+05,1.8147e+05,402.33,1.3135,0.29097,0.22549,0.045098,0
1.5752,815.9,162.64,0,6.7452e+05,1.8193e+05,402.34,1.3135,0.29259,0.23529,0.047059,0
1.5793,819.94,163.46,0,6.7655e+05,1.821e+05,401.66,1.3176,0.29321,0.2451,0.04902,0
1.5823,821.86,163.99,0,6.7787e+05,1.8238e+05,401.51,1.3185,0.2942,0.2549,0.05098,0
1.5845,824.7,164.53,0,6.7901e+05,1.8234e+05,400.89,1.3223,0.29406,0.26471,0.052941,0
1.5857,825.75,164.89,0,6.7959e+05,1.8241e+05,400.73,1.3232,0.29431,0.27451,0.054902,0
1.5857,827,165.08,0,6.7976e+05,1.822e+05,400.28,1.326,0.29359,0.28431,0.056863,0
1.5863,828,165.31,0,6.8011e+05,1.8216e+05,400.04,1.3275,0.29344,0.29412,0.058824,0
1.5878,829.3,165.71,0,6.8083e+05,1.8225e+05,399.84,1.3287,0.29374,0.30392,0.060784,0
1.5877,829.16,165.7,0,6.8079e+05,1.8225e+05,399.88,1.3285,0.29376,0.31373,0.062745,0
1.5889,830.33,165.93,0,6.8137e+05,1.823e+05,399.69,1.3297,0.29393,0.32353,0.064706,0
1.5896,832.24,165.87,0,6.8187e+05,1.8214e+05,399.16,1.3329,0.29336,0.33333,0.066667,0
1.5922,835.3,166.49,0,6.8324e+05,1.8218e+05,398.57,1.3366,0.29348,0.34314,0.068627,0
1.5951,836.87,167.16,0,6.8452e+05,1.8249e+05,398.55,1.3368,0.29462,0.35294,0.070588,0
1.5967,838.65,167.57,0,6.8531e+05,1.8251e+05,398.19,1.339,0.29467,0.36275,0.072549,0
1.5966,839.45,167.57,0,6.8536e+05,1.8235e+05,397.88,1.3408,0.29411,0.37255,0.07451,0
1.5966,839.38,167.75,0,6.8538e+05,1.8237e+05,397.92,1.3407,0.29418,0.38235,0.076471,0
1.5959,841.5,167.86,0,6.8545e+05,1.819e+05,397.07,1.346,0.29251,0.39216,0.078431,0
1.5973,843.61,168.19,0,6.8627e+05,1.8186e+05,396.62,1.3489,0.29234,0.40196,0.080392,0
1.599,845.67,168.61,0,6.8716e+05,1.8186e+05,396.2,1.3515,0.29235,0.41176,0.082353,0
1.6016,847.26,169.24,0,6.8833e+05,1.8212e+05,396.11,1.352,0.29328,0.42157,0.084314,0
1.603,847.84,169.5,0,6.8887e+05,1.8228e+05,396.13,1.3519,0.29385,0.43137,0.086275,0
1.6025,848.37,169.45,0,6.8878e+05,1.821e+05,395.86,1.3535,0.29323,0.44118,0.088235,0
1.6034,849.01,169.52,0,6.892e+05,1.8218e+05,395.81,1.3538,0.29352,0.45098,0.090196,0
1.605,850.54,169.68,0,6.8994e+05,1.8224e+05,395.55,1.3553,0.29371,0.46078,0.092157,0
1.6087,851.89,170.98,0,6.915e+05,1.8274e+05,395.72,1.3544,0.2955,0.47059,0.094118,0
1.5913,848.9,164.26,0,6.8478e+05,1.7995e+05,393.94,1.3656,0.28553,0.48039,0.096078,0
1.6313,857.44,181.99,0,7.0047e+05,1.8599e+05,397.18,1.3449,0.30712,0.4902,0.098039,0
1.2678,758.24,65.432,0,5.5742e+05,1.3159e+05,361.59,1.5747,0.11284,0.5,0.1,0
0.76651,520.15,-74.91,0,3.4814e+05,67196,305.39,1.957,-0.11716,0.5098,0.098039,0
0.61436,430.36,-98.86,0,2.8311e+05,49769,282.21,2.1342,-0.1794,0.51961,0.096078,0
0.58661,412.32,-100.35,0,2.7096e+05,46991,279.06,2.1601,-0.18932,0.52941,0.094118,0
0.60859,425.68,-97.187,0,2.8042e+05,49513,283.42,2.1259,-0.18031,0.53922,0.092157,0
0.63363,441.48,-92.515,0,2.9141e+05,52344,287.78,2.0933,-0.1702,0.54902,0.090196,0
0.64711,450.44,-89.682,0,2.974e+05,53766,289.44,2.081,-0.16512,0.55882,0.088235,0
0.65021,453.23,-88.121,0,2.9893e+05,53998,289.3,2.0826,-0.16429,0.56863,0.086275,0
0.64678,451.61,-88.027,0,2.975e+05,53540,288.37,2.0897,-0.16593,0.57843,0.084314,0
0.64262,449.66,-88.333,0,2.9582e+05,52974,287.17,2.0991,-0.16795,0.58824,0.082353,0
0.63856,447.69,-88.754,0,2.9418e+05,52428,286.02,2.1082,-0.1699,0.59804,0.080392,0
0.6351,445.95,-89.069,0,2.9276e+05,51978,285.11,2.1154,-0.17151,0.60784,0.078431,0
0.63282,444.85,-89.197,0,2.9183e+05,51675,284.46,2.1205,-0.17259,0.61765,0.076471,0
0.63122,444.12,-89.16,0,2.9118e+05,51456,283.98,2.1243,-0.17337,0.62745,0.07451,0
0.63016,443.81,-89.043,0,2.9078e+05,51283,283.5,2.1281,-0.17399,0.63725,0.072549,0
0.62934,443.5,-88.849,0,2.9046e+05,51166,283.22,2.1303,-0.17441,0.64706,0.070588,0
0.62838,443.11,-88.686,0,2.9007e+05,51031,282.91,2.1328,-0.17489,0.65686,0.068627,0
0.62716,442.47,-88.541,0,2.8955e+05,50888,282.66,2.1348,-0.1754,0.66667,0.066667,0
0.62616,442.11,-88.504,0,2.8916e+05,50733,282.25,2.138,-0.17595,0.67647,0.064706,0
0.6255,442,-88.501,0,2.8894e+05,50605,281.83,2.1413,-0.17641,0.68627,0.062745,0
0.62493,441.76,-88.457,0,2.8871e+05,50524,281.64,2.1429,-0.1767,0.69608,0.060784,0
0.62441,441.63,-88.441,0,2.8852e+05,50433,281.37,2.1451,-0.17703,0.70588,0.058824,0
0.62423,441.72,-88.451,0,2.8849e+05,50374,281.12,2.147,-0.17723,0.71569,0.056863,0
0.62409,441.68,-88.427,0,2.8844e+05,50351,281.06,2.1476,-0.17732,0.72549,0.054902,0
0.62401,441.77,-88.428,0,2.8843e+05,50317,280.9,2.1488,-0.17744,0.73529,0.052941,0
0.6241,441.91,-88.444,0,2.8849e+05,50309,280.81,2.1495,-0.17747,0.7451,0.05098,0
0.62431,442.08,-88.456,0,2.8859e+05,50322,280.79,2.1497,-0.17742,0.7549,0.04902,0
0.62446,442.19,-88.464,0,2.8866e+05,50334,280.8,2.1497,-0.17738,0.76471,0.047059,0
0.62451,442.29,-88.5,0,2.887e+05,50325,280.72,2.1503,-0.17741,0.77451,0.045098,0
0.62482,442.52,-88.549,0,2.8884e+05,50347,280.71,2.1504,-0.17733,0.78431,0.043137,0
0.62514,442.75,-88.604,0,2.89e+05,50372,280.7,2.1505,-0.17724,0.79412,0.041176,0
0.62558,443.1,-88.673,0,2.8921e+05,50398,280.65,2.1509,-0.17715,0.80392,0.039216,0
0.62598,443.35,-88.71,0,2.8938e+05,50437,280.69,2.1506,-0.17701,0.81373,0.037255,0
0.62633,443.63,-88.77,0,2.8955e+05,50460,280.66,2.1508,-0.17693,0.82353,0.035294,0
