"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,-1.316561e-06,0.000000e+00,1.000000e+05,-1.925078e-09,3.000000e+02,1,0.000000e+00,0.000000e+00,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,-1.458535e-06,0.000000e+00,1.000000e+05,-2.248503e-09,3.000000e+02,1,3.000000e-03,3.000000e-03,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,-1.560654e-06,0.000000e+00,1.000000e+05,-2.536309e-09,3.000000e+02,1,6.000000e-03,6.000000e-03,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,-1.662772e-06,0.000000e+00,1.000000e+05,-2.824115e-09,3.000000e+02,1,9.000000e-03,9.000000e-03,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,-4.456936e-07,0.000000e+00,1.000000e+05,-5.015764e-10,3.000000e+02,1,1.200000e-02,1.200000e-02,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,2.047968e-06,0.000000e+00,1.000000e+05,4.333625e-09,3.000000e+02,1,1.500000e-02,1.500000e-02,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,4.541630e-06,0.000000e+00,1.000000e+05,9.168827e-09,3.000000e+02,1,1.800000e-02,1.800000e-02,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,7.035293e-06,0.000000e+00,1.000000e+05,1.400403e-08,3.000000e+02,1,2.100000e-02,2.100000e-02,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,9.630293e-06,0.000000e+00,1.000000e+05,1.879176e-08,3.000000e+02,1,2.400000e-02,2.400000e-02,2.000000e-01,0.000000e+00
1.161206e+00,5.300000e+05,2.000000e+00,8.063964e+02,1.193284e-05,0.000000e+00,1.000000e+05,2.173236e-08,3.000000e+02,1,2.700000e-02,2.700000e-02,2.000000e-01,0.000000e+00
