"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,    -0.01886335968,        2.83326705,       2.551444592,       5.715568099
          0,           0,           1,    -0.08485461746,       2.755267327,       2.483143061,       5.662099056
          0,           0,           2,     -0.1352435514,       2.714534308,       2.454511588,       5.614211688
          0,           0,           3,      -0.187733057,       2.689366388,       2.435807438,       5.552268137
          0,           0,           4,     -0.2308414154,       2.673586384,       2.418938376,       5.489796028
          0,           0,           5,     -0.2508647677,       2.662017835,       2.403048328,        5.44221186
          0,           0,           6,     -0.2405703115,       2.656772687,       2.388125657,       5.426935562
          0,           0,           7,     -0.2060441103,       2.661954586,       2.374544793,       5.447713017
          0,           0,           8,      -0.162978187,       2.674505828,       2.362796412,       5.484875461
          0,           0,           9,      -0.122777827,       2.688943948,       2.353715304,       5.519970472
          0,           0,          10,     -0.0897958388,       2.702783619,       2.348180239,       5.547424853
          0,           0,          11,    -0.06539422595,       2.715806848,       2.346514133,       5.567732166
          0,           0,          12,     -0.0500399444,       2.727030294,       2.348121008,       5.581614062
          0,           0,          13,    -0.04385801725,       2.734042589,       2.351887338,       5.588484199
          0,           0,          14,    -0.04636612222,       2.734724961,       2.356375591,       5.587671468
          0,           0,          15,    -0.05627087654,       2.728488576,       2.360072889,       5.579529266
          0,           0,          16,    -0.07155116021,        2.71632754,        2.36175115,       5.565603277
          0,           0,          17,    -0.08975860245,       2.700228981,       2.360617036,       5.548225394
          0,           0,          18,      -0.108408559,       2.682550789,        2.35630976,       5.529995348
          0,           0,          19,     -0.1254747064,       2.665411881,       2.348814634,       5.513161576
          0,           0,          20,     -0.1397699676,       2.650200016,       2.338461954,         5.4990564
          0,           0,          21,     -0.1511150492,       2.637311809,       2.325919723,       5.487786227
          0,           0,          22,     -0.1600209298,       2.626477107,       2.312200716,       5.478641218
          0,           0,          23,     -0.1672328263,       2.617282122,       2.298465663,       5.470734816
          0,           0,          24,     -0.1734059589,       2.609514471,       2.285680404,        5.46343819
          0,           0,          25,     -0.1790262871,       2.603134496,       2.274299512,       5.456405511
          0,           0,          26,     -0.1844745762,       2.598042248,       2.264203653,       5.449397528
          0,           0,          27,        -0.1900806,       2.593936375,       2.254904169,       5.442178168
          0,           0,          28,     -0.1960904436,       2.590393854,         2.2458646,       5.434580243
          0,           0,          29,     -0.2026267214,        2.58705075,       2.236704136,       5.426607062
          0,           0,          30,     -0.2096740168,       2.583731878,       2.227205356,       5.418454502
          0,           0,          31,     -0.2171012969,       2.580454471,       2.217251075,       5.410438436
          0,           0,          32,     -0.2247269896,         2.5773523,       2.206712327,       5.402877087
          0,           0,          33,     -0.2323140779,       2.574599947,       2.195557141,       5.396053858
          0,           0,          34,     -0.2396793133,       2.572281911,       2.183808895,       5.390099615
          0,           0,          35,     -0.2467104894,       2.570339663,       2.171641923,       5.384969979
          0,           0,          36,     -0.2533944204,       2.568565775,       2.159363236,       5.380440962
          0,           0,          37,     -0.2598041137,       2.566664421,       2.147352106,        5.37616898
          0,           0,          38,     -0.2660626196,       2.564340581,       2.135967496,       5.371787836
          0,           0,          39,     -0.2722800271,       2.561388562,        2.12546865,       5.367020061
          0,           0,          40,     -0.2785340741,       2.557719559,       2.115949223,       5.361721069
          0,           0,          41,     -0.2848710646,       2.553343138,       2.107322232,       5.355871361
          0,           0,          42,      -0.291318565,        2.54832316,       2.099366237,       5.349533019
          0,           0,          43,     -0.2979105081,       2.542725578,       2.091794223,       5.342786899
          0,           0,          44,     -0.3047043587,        2.53658317,       2.084328419,       5.335682376
          0,           0,          45,     -0.3117768699,       2.529889847,       2.076760583,       5.328219707
          0,           0,          46,     -0.3192142499,       2.522613811,       2.068970118,       5.320354095
          0,           0,          47,     -0.3270893283,       2.514726242,       2.060922712,       5.312025299
          0,           0,          48,     -0.3354438188,       2.506223636,       2.052651433,       5.303184486
          0,           0,          49,      -0.344271753,       2.497150047,       2.044232456,       5.293828961
          0,           0,          50,     -0.3535166371,       2.487599804,       2.035763325,       5.284014131
          0,           0,          51,     -0.3630756071,       2.477711865,       2.027344077,       5.273855259
          0,           0,          52,     -0.3728091848,       2.467657782,       2.019064039,       5.263518454
          0,           0,          53,     -0.3825535591,        2.45762726,       2.010994976,       5.253204771
          0,           0,          54,     -0.3921339912,       2.447813229,       2.003189926,       5.243130067
          0,           0,          55,     -0.4013791623,       2.438396283,       1.995685983,       5.233502441
          0,           0,          56,      -0.410135952,        2.42952896,       1.988508215,       5.224499873
          0,           0,          57,     -0.4182842423,       2.421320401,       1.981672234,       5.216250407
          0,           0,          58,     -0.4257499439,       2.413823563,       1.975184504,       5.208818023
          0,           0,          59,     -0.4325142224,       2.407028029,       1.969040741,         5.2021965
          0,           0,          60,     -0.4386119152,       2.400863425,       1.963228637,         5.1963168
