"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2940497204,       2.545902555,       2.314118588,       5.440381739
          0,           0,           1,     -0.4115644642,       2.423085579,       2.176667179,        5.33240159
          0,           0,           2,     -0.4806246085,       2.364350295,        2.10952212,       5.271581909
          0,           0,           3,      -0.522199602,       2.334686475,       2.085540759,       5.227913811
          0,           0,           4,     -0.5475497759,       2.315605486,       2.079583774,       5.193356069
          0,           0,           5,     -0.5603267786,       2.301918496,       2.078383793,       5.169665283
          0,           0,           6,     -0.5609056561,       2.293657061,       2.076802367,       5.159745588
          0,           0,           7,     -0.5513605153,       2.289926776,       2.073471081,       5.161401458
          0,           0,           8,     -0.5360507803,       2.288216434,       2.067803001,        5.16874964
          0,           0,           9,     -0.5191286078,       2.286929251,       2.059543007,       5.177083433
          0,           0,          10,     -0.5034348629,       2.285878101,       2.049250455,       5.184210717
          0,           0,          11,     -0.4908197454,        2.28504067,       2.038260767,       5.189207368
          0,           0,          12,     -0.4823059934,       2.283812395,       2.028295069,       5.191504531
          0,           0,          13,     -0.4781808279,       2.281295181,       2.020759488,       5.190731633
          0,           0,          14,     -0.4778823348,       2.277254612,       2.016263413,       5.187176299
          0,           0,          15,     -0.4801515656,       2.272567986,       2.014608276,       5.182009627
          0,           0,          16,     -0.4833670146,       2.268966116,       2.015184341,       5.177104059
          0,           0,          17,     -0.4860569843,       2.268099299,       2.017155603,       5.174220232
          0,           0,          18,     -0.4872448982,       2.270725329,       2.019826024,        5.17429168
          0,           0,          19,     -0.4865227674,       2.276591418,       2.022885763,       5.177272303
          0,           0,          20,     -0.4839404358,        2.28485393,       2.026385141,        5.18250509
          0,           0,          21,     -0.4797161884,       2.294679224,       2.030607352,       5.189294673
          0,           0,          22,      -0.474007135,       2.305594392,        2.03574639,       5.197269577
          0,           0,          23,      -0.466930386,       2.317402454,        2.04171476,       5.206297094
          0,           0,          24,     -0.4585739439,       2.330077292,       2.048214913,       5.216365793
          0,           0,          25,     -0.4491440266,       2.343535933,       2.054857647,       5.227346879
          0,           0,          26,     -0.4391004199,       2.357376992,       2.061319027,       5.238794205
          0,           0,          27,     -0.4290732051,       2.370874267,       2.067386885,        5.25000552
          0,           0,          28,     -0.4196067248,         2.3832645,       2.072941608,       5.260291084
          0,           0,          29,      -0.411162286,       2.393785387,       2.077927098,       5.269021407
          0,           0,          30,     -0.4039406232,       2.401975463,       2.082370795,       5.275826614
          0,           0,          31,     -0.3979268654,       2.407767384,       2.086357024,       5.280638772
          0,           0,          32,     -0.3928901137,          2.411499,       2.090046513,       5.283694907
          0,           0,          33,     -0.3885638999,       2.413688157,       2.093586083,       5.285378476
