"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,       2.657591458
          0,           0,           1,      -2.752930852,      -1.109748456,     -0.2369876668,       2.728343926
          0,           0,           2,      -3.010368354,      -1.149485051,     -0.5920100732,       2.470908025
          0,           0,           3,      -3.181834142,      -1.202617311,     -0.7126219415,       2.297939418
          0,           0,           4,      -3.548136112,      -1.432211442,     -0.9912835073,       1.933468858
          0,           0,           5,      -3.518372133,      -1.601612504,     -0.9945934019,       1.962242484
          0,           0,           6,      -3.835106494,      -1.771033201,      -1.270545128,       1.647182636
          0,           0,           7,      -3.971074329,      -2.037908788,      -1.403224201,       1.509307965
          0,           0,           8,      -4.126470002,      -2.175075159,      -1.529375586,       1.354545073
          0,           0,           9,      -4.191732724,      -2.224729724,      -1.610616435,       1.288222339
          0,           0,          10,      -4.318698946,      -2.375139712,      -1.720311348,       1.161411976
          0,           0,          11,      -4.670495146,      -2.580469258,      -2.018882472,      0.8110559191
          0,           0,          12,      -4.640347452,      -2.671129891,      -2.057249925,      0.8396728893
          0,           0,          13,      -4.711369423,      -2.760685309,      -2.146545927,      0.7679685504
          0,           0,          14,      -4.904200593,      -2.748330359,      -2.347467127,      0.5765165173
          0,           0,          15,      -4.923267681,      -2.867782426,      -2.349561926,      0.5563289947
          0,           0,          16,      -4.933233386,      -2.903443173,      -2.378108478,      0.5457799464
          0,           0,          17,      -5.035364375,      -2.888886037,      -2.482379673,      0.4451363723
          0,           0,          18,       -5.08573165,      -2.984714238,       -2.51689843,      0.3938838111
          0,           0,          19,      -5.105675673,      -3.049310456,      -2.524978576,      0.3733268537
          0,           0,          20,      -5.084355765,      -3.049472026,      -2.500498547,      0.3948009925
          0,           0,          21,      -5.105835606,      -3.066940589,      -2.518200222,      0.3731379441
          0,           0,          22,      -5.159210296,      -3.046034795,      -2.577301457,       0.320351463
          0,           0,          23,      -5.185676419,      -3.044754292,      -2.617443808,      0.2944555503
          0,           0,          24,      -5.203265427,      -3.059574035,      -2.643562995,      0.2772077044
          0,           0,          25,      -5.185611276,      -3.092037499,      -2.621023903,      0.2945751942
          0,           0,          26,      -5.156084263,      -3.138132101,      -2.582443827,      0.3234662431
          0,           0,          27,      -5.139426933,      -3.165962973,      -2.561911636,      0.3397597869
          0,           0,          28,      -5.139314929,      -3.176930805,      -2.563687806,      0.3396900484
          0,           0,          29,      -5.159403728,      -3.178284084,      -2.589233343,       0.319616237
          0,           0,          30,      -5.200146779,      -3.193532581,      -2.634750513,      0.2790090632
          0,           0,          31,      -5.248408862,      -3.230374008,      -2.685021293,      0.2308119668
          0,           0,          32,      -5.303413406,      -3.283781507,      -2.737026856,      0.1757807269
          0,           0,          33,      -5.359812336,      -3.344645843,      -2.785943911,      0.1192722302
          0,           0,          34,      -5.413113114,      -3.397523058,      -2.831128543,     0.06586472403
          0,           0,          35,       -5.46106515,      -3.435061456,      -2.872550104,     0.01788544532
          0,           0,          36,       -5.50295809,       -3.45836793,      -2.911141445,    -0.02391590287
          0,           0,          37,      -5.536472398,       -3.47433435,      -2.944625863,    -0.05723079312
          0,           0,          38,      -5.564216025,      -3.491259481,      -2.974210766,     -0.0847527882
          0,           0,          39,      -5.586322925,      -3.514197072,      -2.998635492,     -0.1067204221
          0,           0,          40,      -5.602710954,      -3.543852352,      -3.016817504,     -0.1231093908
          0,           0,          41,      -5.613816298,      -3.575699331,      -3.028939671,     -0.1343080009
          0,           0,          42,      -5.618964026,      -3.605858216,       -3.03458473,     -0.1395965502
          0,           0,          43,      -5.621772502,      -3.632404553,      -3.038030868,      -0.142564956
          0,           0,          44,      -5.632561132,      -3.654918487,      -3.049962747,     -0.1534718596
          0,           0,          45,      -5.647697516,      -3.669230282,      -3.067677969,     -0.1686286936
          0,           0,          46,      -5.673477747,      -3.687240872,      -3.095254582,     -0.1943656833
          0,           0,          47,      -5.701147177,      -3.711326492,      -3.124277813,     -0.2220066047
          0,           0,          48,      -5.733248242,      -3.743217221,      -3.155487641,     -0.2540822775
          0,           0,          49,      -5.768363993,       -3.78210238,      -3.186887154,     -0.2891860469
          0,           0,          50,       -5.80534212,      -3.824288312,      -3.218068215,     -0.3261823303
          0,           0,          51,      -5.844603354,      -3.861971698,      -3.251514501,     -0.3654531313
          0,           0,          52,      -5.879934518,       -3.88530313,       -3.28378821,     -0.4006992412
          0,           0,          53,      -5.905778242,      -3.903392645,      -3.309020643,     -0.4264308171
          0,           0,          54,      -5.921162779,      -3.924467764,      -3.324626023,     -0.4417869686
          0,           0,          55,      -5.927062804,       -3.94570633,      -3.331566455,     -0.4477158944
          0,           0,          56,       -5.93193547,      -3.967029954,      -3.337268869,     -0.4526390138
          0,           0,          57,      -5.941279871,      -3.988578132,      -3.347254622,      -0.462028476
          0,           0,          58,      -5.954317423,      -4.008348443,      -3.361119502,       -0.47507945
