"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.345096091,      -2.224198259,      -1.835637411,       1.131068639
          0,           0,           1,      -4.275429148,      -2.301880514,      -1.768526654,       1.207747631
          0,           0,           2,      -4.627948997,       -2.40511334,      -2.105297174,      0.8510513421
          0,           0,           3,      -4.917348907,      -2.657140536,      -2.495183715,       0.556803594
          0,           0,           4,      -4.878947905,      -2.759381625,      -2.353816659,      0.6002222438
          0,           0,           5,      -4.963853916,      -2.848604806,      -2.418566871,      0.5182584308
          0,           0,           6,      -5.191462667,      -3.073206514,      -2.641996717,      0.2895715463
          0,           0,           7,      -5.441580976,      -3.278230764,       -2.88575314,     0.03849732539
          0,           0,           8,      -5.132420507,      -3.045792667,      -2.572546426,      0.3446759878
          0,           0,           9,      -5.176246605,      -3.024217963,      -2.644607617,      0.2984100637
          0,           0,          10,      -5.433634403,       -3.19842173,      -2.987993546,     0.04243162558
          0,           0,          11,      -4.972341644,      -2.857901087,      -2.452014268,       0.502872212
          0,           0,          12,      -5.341038437,      -3.167539645,       -2.86902861,      0.1342121631
          0,           0,          13,      -4.990574544,      -2.891783836,      -2.466758028,      0.4843837734
          0,           0,          14,      -5.199759786,      -3.024494438,      -2.688282287,      0.2732498509
          0,           0,          15,      -5.201748864,      -3.102946442,      -2.688652486,       0.274019516
          0,           0,          16,      -5.047914231,      -2.922805422,      -2.524876826,       0.425854413
          0,           0,          17,      -5.507831731,       -3.30615904,      -3.113613938,    -0.03147807848
          0,           0,          18,      -5.016250881,      -2.911274619,      -2.491378917,      0.4584806941
          0,           0,          19,      -5.255779318,      -3.092752181,       -2.73224087,      0.2166032417
          0,           0,          20,      -5.366620388,      -3.280034419,      -2.871037757,      0.1098780017
          0,           0,          21,      -5.060186496,      -2.958584876,      -2.536327839,      0.4142044433
          0,           0,          22,      -5.515395497,      -3.363008986,      -3.057933232,    -0.04155781185
          0,           0,          23,      -5.112888933,      -3.015254967,      -2.592974932,       0.361826317
          0,           0,          24,      -5.246191724,      -3.093194923,      -2.733756315,      0.2263210301
          0,           0,          25,      -5.369478811,      -3.280023414,      -2.869724465,      0.1065955552
          0,           0,          26,      -5.129800695,      -3.018991123,      -2.605326443,      0.3442588339
          0,           0,          27,      -5.610561827,      -3.464001851,      -3.178440798,      -0.136758748
          0,           0,          28,      -5.158883081,      -3.059851173,      -2.637305933,      0.3157277113
          0,           0,          29,      -5.366074145,      -3.201067941,      -2.851624436,      0.1062773976
          0,           0,          30,       -5.44832221,      -3.346191031,      -2.946973403,     0.02768903974
          0,           0,          31,      -5.205332014,      -3.087342918,      -2.681408328,      0.2684352351
          0,           0,          32,      -5.654053646,      -3.480470817,      -3.212885374,     -0.1814936706
          0,           0,          33,      -5.239854912,      -3.148080746,      -2.716698651,      0.2351953134
          0,           0,          34,      -5.413133179,      -3.267006968,      -2.892287945,     0.06005538845
          0,           0,          35,      -5.529188855,      -3.430721525,      -3.031892461,    -0.05352795033
          0,           0,          36,       -5.25103468,      -3.129179181,      -2.731096495,      0.2225290201
          0,           0,          37,      -5.730547391,      -3.529551303,       -3.31990436,     -0.2584577384
          0,           0,          38,      -5.290829758,      -3.205344448,      -2.765779097,      0.1843380482
          0,           0,          39,      -5.496124955,       -3.35687354,      -2.973203895,    -0.02281821442
          0,           0,          40,      -5.586623233,      -3.477901399,      -3.088762872,     -0.1110131135
          0,           0,          41,      -5.331344581,      -3.209211566,      -2.810180929,      0.1423626104
          0,           0,          42,      -5.814150411,      -3.639259792,      -3.396677098,     -0.3410144239
          0,           0,          43,      -5.364199061,      -3.270330178,      -2.841885302,      0.1105580911
          0,           0,          44,       -5.54704372,      -3.396336922,      -3.033108857,    -0.07441998089
          0,           0,          45,        -5.6150526,      -3.527065615,      -3.106158286,     -0.1389203835
          0,           0,          46,       -5.40700061,      -3.296229223,      -2.881467239,     0.06713580819
          0,           0,          47,      -5.894601526,      -3.748768628,      -3.483433987,     -0.4201865945
          0,           0,          48,      -5.412101297,      -3.304991037,      -2.892398318,     0.06220227951
          0,           0,          49,      -5.634683939,      -3.466305796,      -3.127684712,     -0.1626644998
          0,           0,          50,        -5.6261483,      -3.544704396,      -3.111802016,     -0.1500860592
          0,           0,          51,      -5.495907381,      -3.379044324,      -2.968775813,    -0.02203030367
          0,           0,          52,      -5.963980651,      -3.810183202,      -3.551752209,     -0.4897047218
          0,           0,          53,      -5.484627104,      -3.380994365,      -2.963582537,    -0.01010906255
          0,           0,          54,       -5.70752616,      -3.543974473,      -3.196424651,     -0.2351462057
          0,           0,          55,      -5.711581114,      -3.625123893,      -3.200503858,     -0.2358667567
          0,           0,          56,      -5.548502628,      -3.428912527,      -3.024210461,    -0.07480551394
