"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,      -4.899502251
          0,           0,           1,      -2.342708013,     0.09573135234,      0.1582413287,       3.154008086,      -5.299883847
          0,           0,           2,      -2.819128919,     -0.3447231002,     0.03524348645,       2.643252874,      -5.908540484
          0,           0,           3,      -2.715787628,     -0.4342022315,     -0.3813401301,       2.762935365,      -6.801944764
          0,           0,           4,      -3.185644654,     -0.7427683426,     -0.7252380016,       2.309570582,       -6.98993802
          0,           0,           5,      -3.222756618,     -0.8589965828,     -0.7605982641,       2.260971154,      -7.128954417
          0,           0,           6,      -3.679354278,      -1.248389353,      -1.100549482,       1.814023359,      -7.113924162
          0,           0,           7,       -3.75753066,      -1.383064998,      -1.196379384,       1.727707225,      -6.828995057
          0,           0,           8,      -3.882162911,      -1.401697613,      -1.288533661,       1.608468193,      -6.705065575
          0,           0,           9,      -3.956155686,      -1.137311414,      -1.400891451,       1.540216721,      -5.953180326
          0,           0,          10,      -4.014471571,      -1.178199609,      -1.369057977,       1.473331927,      -6.131829558
          0,           0,          11,      -4.063163921,       -1.25870319,      -1.460280555,       1.422259284,      -6.181942408
          0,           0,          12,      -4.125312347,      -1.302829626,      -1.531991891,       1.356277523,      -6.236030264
          0,           0,          13,       -4.15545868,      -1.323768643,      -1.586453008,       1.322868709,       -6.25691798
          0,           0,          14,      -4.173950022,      -1.336708764,      -1.630175612,       1.303511667,      -6.267611084
          0,           0,          15,      -4.206513823,      -1.351074834,      -1.670104718,        1.27136242,      -6.267652704
          0,           0,          16,      -4.230833634,       -1.36701556,      -1.686317402,        1.24818966,      -6.260420238
          0,           0,          17,      -4.262518356,       -1.38145396,      -1.707035344,       1.217095662,      -6.239974643
          0,           0,          18,       -4.29318619,       -1.40081655,      -1.723778554,       1.186271247,       -6.20595942
          0,           0,          19,      -4.325622027,      -1.418542119,      -1.749254631,       1.153359572,       -6.17450407
          0,           0,          20,      -4.350875824,       -1.43937587,       -1.77025616,       1.127444244,      -6.150749571
          0,           0,          21,      -4.373593194,      -1.458395603,      -1.790838537,       1.104499515,      -6.136868159
          0,           0,          22,      -4.387779557,      -1.476366777,      -1.804125528,       1.090502279,       -6.12435884
          0,           0,          23,      -4.397252958,      -1.490416156,      -1.811807266,       1.081627048,      -6.122979571
          0,           0,          24,      -4.405994663,      -1.503769505,      -1.818212378,       1.073739353,      -6.120668159
          0,           0,          25,      -4.419578626,      -1.515516674,      -1.826494518,       1.061093026,      -6.106823143
          0,           0,          26,      -4.438909394,      -1.528825236,      -1.839897883,       1.042529393,       -6.08580691
          0,           0,          27,      -4.460945641,      -1.541292697,      -1.858484115,       1.021017166,      -6.063453814
          0,           0,          28,       -4.48888772,      -1.555913877,      -1.884347164,      0.9935542618,      -6.041881454
          0,           0,          29,      -4.514529184,      -1.570490238,      -1.909949415,       0.968405086,      -6.033207095
          0,           0,          30,      -4.533211993,      -1.583366568,      -1.930625836,      0.9505077173,      -6.041789616
          0,           0,          31,      -4.543707812,      -1.592933551,      -1.944569666,      0.9411196516,      -6.049493919
          0,           0,          32,      -4.554698195,      -1.603826849,      -1.955483292,      0.9313887655,      -6.044372112
          0,           0,          33,       -4.56876171,      -1.615811924,      -1.966353811,      0.9183669241,      -6.029967265
          0,           0,          34,      -4.587250628,      -1.630870459,      -1.979250873,       0.900602815,      -6.016030441
          0,           0,          35,      -4.610949056,      -1.647014029,      -1.997288588,      0.8773166427,      -6.006507662
          0,           0,          36,      -4.637566421,      -1.666343478,      -2.017872395,      0.8507413941,      -6.003210016
          0,           0,          37,      -4.665260028,      -1.687463054,      -2.039995775,      0.8228385136,      -6.010106841
          0,           0,          38,      -4.688668753,      -1.708970051,      -2.058684562,      0.7990498524,      -6.028868432
          0,           0,          39,      -4.700761705,      -1.727768661,      -2.068972101,      0.7865490472,      -6.054468919
          0,           0,          40,      -4.698750176,      -1.744074023,      -2.070459938,      0.7884130169,      -6.080261631
          0,           0,          41,      -4.691259889,      -1.758901077,      -2.067630524,       0.796125128,      -6.102184793
          0,           0,          42,      -4.685307302,      -1.774009987,      -2.064722759,      0.8025069613,      -6.119384183
          0,           0,          43,       -4.68492062,       -1.78965218,      -2.065218933,      0.8033367669,      -6.132365361
