"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      
          0,           0,          31,       0.164325159,      0.3457212672,                 0,                 0,                 0,      0.1912214018,       0.164325159,      0.3457212672,                 0,       2.103885184,                 0
          1,           0,          25,    0.006192527659,      0.2919504148,                 0,                 0,                 0,      0.1203888428,    0.006192527659,      0.2919504148,                 0,       47.14559722,                 0
          2,           0,          24,    -0.01892186383,      0.2383614113,                 0,                 0,                 0,     0.08035028802,    -0.01892186383,      0.2383614113,                 0,       -12.5971423,                 0
          3,           0,          23,    -0.00909135027,      0.2041711948,                 0,                 0,                 0,      0.0611455153,    -0.00909135027,      0.2041711948,                 0,      -22.45774156,                 0
          4,           0,          22,  -2.029471445e-05,      0.1835561911,                 0,                 0,                 0,     0.04856296811,  -2.029471445e-05,      0.1835561911,                 0,      -9044.531847,                 0
          5,           0,          22,    0.001993963796,      0.1596007221,                 0,                 0,                 0,      0.0340585054,    0.001993963796,      0.1596007221,                 0,       80.04193576,                 0
          6,           0,          22,   0.0004035577926,      0.1222347512,                 0,                 0,                 0,      0.0150113237,   0.0004035577926,      0.1222347512,                 0,       302.8928035,                 0
          7,           0,          22,   -0.001563544629,     0.07314026801,                 0,                 0,                 0,   -0.006863278213,   -0.001563544629,     0.07314026801,                 0,      -46.77849719,                 0
          8,           0,          22,   -0.002790653712,     0.01892004212,                 0,                 0,                 0,    -0.02854648727,   -0.002790653712,     0.01892004212,                 0,      -6.779788562,                 0
          9,           0,          22,   -0.003211193841,    -0.03492737784,                 0,                 0,                 0,    -0.04780623463,   -0.003211193841,    -0.03492737784,                 0,       10.87675786,                 0
         10,           0,          22,   -0.002925786756,    -0.08499966887,                 0,                 0,                 0,    -0.06346597466,   -0.002925786756,    -0.08499966887,                 0,       29.05190158,                 0
         11,           0,          22,   -0.002044505724,     -0.1287760375,                 0,                 0,                 0,    -0.07484485579,   -0.002044505724,     -0.1287760375,                 0,        62.9863913,                 0
         12,           0,          22,  -0.0007703735081,     -0.1638694348,                 0,                 0,                 0,    -0.08138637324,  -0.0007703735081,     -0.1638694348,                 0,       212.7142653,                 0
         13,           0,          21,   0.0006001480764,     -0.1880742311,                 0,                 0,                 0,    -0.08265961749,   0.0006001480764,     -0.1880742311,                 0,      -313.3797116,                 0
         14,           0,          21,    0.001737060466,     -0.1997840119,                 0,                 0,                 0,    -0.07853545949,    0.001737060466,     -0.1997840119,                 0,      -115.0126987,                 0
         15,           0,          21,    0.002359469022,     -0.1982619915,                 0,                 0,                 0,    -0.06925688685,    0.002359469022,     -0.1982619915,                 0,      -84.02822399,                 0
         16,           0,          20,    0.002322736608,     -0.1836139472,                 0,                 0,                 0,    -0.05540379372,    0.002322736608,     -0.1836139472,                 0,      -79.05069673,                 0
         17,           0,          21,     0.00162641048,     -0.1569254635,                 0,                 0,                 0,     -0.0379568011,     0.00162641048,     -0.1569254635,                 0,      -96.48576757,                 0
         18,           0,          21,   0.0004462006072,     -0.1199398164,                 0,                 0,                 0,    -0.01800767977,   0.0004462006072,     -0.1199398164,                 0,      -268.8024499,                 0
         19,           0,          22,   -0.000921865068,    -0.07504918538,                 0,                 0,                 0,    0.003139880586,   -0.000921865068,    -0.07504918538,                 0,       81.41016293,                 0
         20,           0,          22,   -0.002142849641,    -0.02501103623,                 0,                 0,                 0,     0.02421010469,   -0.002142849641,    -0.02501103623,                 0,       11.67185777,                 0
         21,           0,          22,   -0.002925960981,     0.02705364571,                 0,                 0,                 0,     0.04389573815,   -0.002925960981,     0.02705364571,                 0,      -9.246071937,                 0
         22,           0,          22,   -0.003079197643,     0.07788216663,                 0,                 0,                 0,     0.06096865651,   -0.003079197643,     0.07788216663,                 0,       -25.2930067,                 0
         23,           0,          22,   -0.002560780976,      0.1242707734,                 0,                 0,                 0,     0.07435371786,   -0.002560780976,      0.1242707734,                 0,      -48.52846635,                 0
         24,           0,          22,   -0.001502596221,      0.1632761489,                 0,                 0,                 0,     0.08319535011,   -0.001502596221,      0.1632761489,                 0,      -108.6626911,                 0
         25,           0,          21,  -0.0001734487464,      0.1923782031,                 0,                 0,                 0,     0.08690766575,  -0.0001734487464,      0.1923782031,                 0,      -1109.135737,                 0
         26,           0,          21,    0.001099131978,       0.209658783,                 0,                 0,                 0,     0.08522139432,    0.001099131978,       0.209658783,                 0,       190.7494161,                 0
         27,           0,          21,    0.001995033732,      0.2140174761,                 0,                 0,                 0,     0.07822923119,    0.001995033732,      0.2140174761,                 0,       107.2751166,                 0
         28,           0,          20,    0.002297983755,      0.2051418145,                 0,                 0,                 0,     0.06634967335,    0.002297983755,      0.2051418145,                 0,        89.2703502,                 0
         29,           0,          21,    0.001924285615,       0.183679564,                 0,                 0,                 0,     0.05041115547,    0.001924285615,       0.183679564,                 0,       95.45337892,                 0
         30,           0,          21,   0.0009665786728,      0.1510101642,                 0,                 0,                 0,     0.03139646802,   0.0009665786728,      0.1510101642,                 0,       156.2316327,                 0
         31,           0,          22,  -0.0003310452839,      0.1092199466,                 0,                 0,                 0,     0.01054480126,  -0.0003310452839,      0.1092199466,                 0,      -329.9244904,                 0
         32,           0,          22,   -0.001641481062,     0.06085375836,                 0,                 0,                 0,    -0.01088649277,   -0.001641481062,     0.06085375836,                 0,      -37.07247056,                 0
         33,           0,          22,   -0.002646159313,    0.008900594322,                 0,                 0,                 0,    -0.03157022325,   -0.002646159313,    0.008900594322,                 0,      -3.363589743,                 0
         34,           0,          22,   -0.003100575185,    -0.04341250512,                 0,                 0,                 0,    -0.05022436843,   -0.003100575185,    -0.04341250512,                 0,       14.00143603,                 0
         35,           0,          22,   -0.002883693975,    -0.09282650436,                 0,                 0,                 0,    -0.06568926227,   -0.002883693975,    -0.09282650436,                 0,       32.19013708,                 0
         36,           0,          22,   -0.002043664718,     -0.1362475881,                 0,                 0,                 0,    -0.07699571235,   -0.002043664718,     -0.1362475881,                 0,       66.66826848,                 0
         37,           0,          21,  -0.0007908309904,     -0.1709383637,                 0,                 0,                 0,    -0.08342391684,  -0.0007908309904,     -0.1709383637,                 0,         216.15031,                 0
         38,           0,          21,   0.0005669688141,     -0.1946370225,                 0,                 0,                 0,    -0.08453553188,   0.0005669688141,     -0.1946370225,                 0,      -343.2940536,                 0
         39,           0,          21,    0.001695232759,     -0.2058583783,                 0,                 0,                 0,    -0.08024733478,    0.001695232759,     -0.2058583783,                 0,      -121.4336953,                 0
         40,           0,          20,    0.002316821577,     -0.2038696978,                 0,                 0,                 0,    -0.07080718753,    0.002316821577,     -0.2038696978,                 0,      -87.99542434,                 0
         41,           0,          20,     0.00228023693,     -0.1888361437,                 0,                 0,                 0,    -0.05685606681,     0.00228023693,     -0.1888361437,                 0,      -82.81426427,                 0
         42,           0,          21,    0.001586896307,     -0.1618329613,                 0,                 0,                 0,    -0.03932421017,    0.001586896307,     -0.1618329613,                 0,       -101.980804,                 0
         43,           0,          21,   0.0004139290232,     -0.1245723047,                 0,                 0,                 0,    -0.01930036451,   0.0004139290232,     -0.1245723047,                 0,      -300.9508822,                 0
         44,           0,          22,  -0.0009434726255,     -0.0794199727,                 0,                 0,                 0,    0.001921275447,  -0.0009434726255,     -0.0794199727,                 0,       84.17835405,                 0
         45,           0,          22,   -0.002152150141,    -0.02912306573,                 0,                 0,                 0,     0.02306814003,   -0.002152150141,    -0.02912306573,                 0,         13.532079,                 0
         46,           0,          22,   -0.002921644782,     0.02319779786,                 0,                 0,                 0,     0.04283093603,   -0.002921644782,     0.02319779786,                 0,      -7.939978878,                 0
         47,           0,          22,   -0.003063018627,     0.07427452686,                 0,                 0,                 0,      0.0599783568,   -0.003063018627,     0.07427452686,                 0,      -24.24880026,                 0
         48,           0,          22,   -0.002533992607,      0.1209024512,                 0,                 0,                 0,     0.07343415057,   -0.002533992607,      0.1209024512,                 0,      -47.71223516,                 0
         49,           0,          22,   -0.001467706972,      0.1601397164,                 0,                 0,                 0,     0.08234360845,   -0.001467706972,      0.1601397164,                 0,      -109.1087795,                 0
         50,           0,          21,  -0.0001331595633,      0.1894701464,                 0,                 0,                 0,     0.08612152096,  -0.0001331595633,      0.1894701464,                 0,      -1422.880503,                 0
         51,           0,          21,    0.001141125116,      0.2069685237,                 0,                 0,                 0,     0.08449682317,    0.001141125116,      0.2069685237,                 0,       181.3723322,                 0
         52,           0,          21,     0.00203579191,      0.2115289304,                 0,                 0,                 0,     0.07755956554,     0.00203579191,      0.2115289304,                 0,       103.9049862,                 0
         53,           0,          20,    0.002333534558,      0.2028318629,                 0,                 0,                 0,     0.06572548282,    0.002333534558,      0.2028318629,                 0,       86.92044531,                 0
         54,           0,          21,    0.001953227561,      0.1815195967,                 0,                 0,                 0,     0.04982196865,    0.001953227561,      0.1815195967,                 0,       92.93315349,                 0
         55,           0,          21,   0.0009883583511,      0.1489707148,                 0,                 0,                 0,     0.03083160953,   0.0009883583511,      0.1489707148,                 0,       150.7254071,                 0
         56,           0,          22,  -0.0003178402744,       0.107273053,                 0,                 0,                 0,    0.009995362227,  -0.0003178402744,       0.107273053,                 0,       -337.506168,                 0
         57,           0,          22,   -0.001636489431,     0.05897447709,                 0,                 0,                 0,    -0.01142739853,   -0.001636489431,     0.05897447709,                 0,      -36.03718789,                 0
         58,           0,          22,   -0.002648510358,    0.007068057076,                 0,                 0,                 0,    -0.03210705759,   -0.002648510358,    0.007068057076,                 0,      -2.668691498,                 0
         59,           0,          22,   -0.003107778883,    -0.04521311738,                 0,                 0,                 0,    -0.05075911464,   -0.003107778883,    -0.04521311738,                 0,        14.5483701,                 0
         60,           0,          22,   -0.002893650474,    -0.09460464433,                 0,                 0,                 0,    -0.06622174408,   -0.002893650474,    -0.09460464433,                 0,       32.69387411,                 0
         61,           0,          22,   -0.002054611165,     -0.1380070672,                 0,                 0,                 0,    -0.07752391005,   -0.002054611165,     -0.1380070672,                 0,       67.16943312,                 0
         62,           0,          21,  -0.0008017565092,     -0.1726770748,                 0,                 0,                 0,    -0.08394429864,  -0.0008017565092,     -0.1726770748,                 0,       215.3734617,                 0
         63,           0,          21,   0.0005570868628,     -0.1963486866,                 0,                 0,                 0,    -0.08504323201,   0.0005570868628,     -0.1963486866,                 0,      -352.4561422,                 0
         64,           0,          21,    0.001686269987,     -0.2075325423,                 0,                 0,                 0,    -0.08073688596,    0.001686269987,     -0.2075325423,                 0,      -123.0719541,                 0
         65,           0,          20,    0.002308034673,     -0.2054928819,                 0,                 0,                 0,    -0.07127304261,    0.002308034673,     -0.2054928819,                 0,      -89.03370664,                 0
         66,           0,          20,    0.002271295359,     -0.1903942308,                 0,                 0,                 0,    -0.05729293356,    0.002271295359,     -0.1903942308,                 0,       -83.8262756,                 0
         67,           0,          21,    0.001576331553,     -0.1633126211,                 0,                 0,                 0,    -0.03972796597,    0.001576331553,     -0.1633126211,                 0,       -103.602964,                 0
         68,           0,          21,   0.0004014290732,     -0.1259613755,                 0,                 0,                 0,    -0.01966865294,   0.0004014290732,     -0.1259613755,                 0,      -313.7823938,                 0
         69,           0,          22,  -0.0009574464968,     -0.0807114601,                 0,                 0,                 0,    0.001588558517,  -0.0009574464968,     -0.0807114601,                 0,       84.29866355,                 0
         70,           0,          22,   -0.002166823918,    -0.03031569582,                 0,                 0,                 0,     0.02276861819,   -0.002166823918,    -0.03031569582,                 0,       13.99084419,                 0
         71,           0,          22,   -0.002936089538,     0.02209951524,                 0,                 0,                 0,     0.04255986202,   -0.002936089538,     0.02209951524,                 0,      -7.526853304,                 0
         72,           0,          22,   -0.003076520873,     0.07325947082,                 0,                 0,                 0,     0.05972912506,   -0.003076520873,     0.07325947082,                 0,      -23.81244069,                 0
         73,           0,          22,    -0.00254552707,      0.1199548514,                 0,                 0,                 0,      0.0731991916,    -0.00254552707,      0.1199548514,                 0,      -47.12377756,                 0
         74,           0,          22,   -0.001476517802,      0.1592416095,                 0,                 0,                 0,       0.082115654,   -0.001476517802,      0.1592416095,                 0,      -107.8494341,                 0
         75,           0,          21,  -0.0001383690103,        0.18860553,                 0,                 0,                 0,     0.08589480422,  -0.0001383690103,        0.18860553,                 0,      -1363.061928,                 0
         76,           0,          21,    0.001139688955,      0.2061238706,                 0,                 0,                 0,     0.08426780878,    0.001139688955,      0.2061238706,                 0,       180.8597597,                 0
         77,           0,          21,    0.002038458854,      0.2106965034,                 0,                 0,                 0,     0.07732734009,    0.002038458854,      0.2106965034,                 0,        103.360685,                 0
