"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.700114026,       -10.6192119,      -10.97792646,       3.805410577,      -5.003805179
          0,           0,           1,       -1.81017356,      0.7777215198,      0.8240265993,       3.709801932,      -5.172365175
          0,           0,           2,      -1.819692157,      0.7359938567,      0.7766839231,       3.693756653,      -5.241556662
          0,           0,           3,       -1.82505849,      0.7357307776,      0.6743375066,       3.691303256,       -5.21850672
          0,           0,           4,      -1.794508532,      0.7774840006,      0.6968150565,        3.72292695,      -5.196900439
          0,           0,           5,      -1.788561605,      0.7976435287,      0.7089910674,       3.725768823,       -5.18231729
          0,           0,           6,      -1.795506698,      0.8025541002,      0.6900996761,        3.71534219,      -5.181199155
          0,           0,           7,      -1.796742616,      0.8120997536,       0.678516177,        3.71216188,      -5.178350223
          0,           0,           8,      -1.804552474,      0.8239205428,      0.6680542127,       3.706151692,      -5.176408295
          0,           0,           9,      -1.818226147,      0.8305711519,      0.6598564447,       3.695621884,      -5.175882182
          0,           0,          10,      -1.828827631,      0.8285555831,       0.652665617,       3.686441027,      -5.178143405
          0,           0,          11,      -1.835903156,      0.8186052645,      0.6425872488,       3.679344484,      -5.184248016
          0,           0,          12,      -1.843234362,      0.8048689341,       0.630302852,       3.672089324,      -5.194166475
          0,           0,          13,      -1.854442247,      0.7910826819,      0.6177508526,       3.661417084,      -5.206970438
          0,           0,          14,       -1.87171594,      0.7792006492,      0.6048069332,       3.645019239,      -5.220937226
          0,           0,          15,      -1.894379066,      0.7708051273,      0.5906826957,       3.624191405,      -5.233603151
          0,           0,          16,      -1.919590476,      0.7662167138,      0.5754552464,         3.6027327,      -5.243931676
          0,           0,          17,      -1.945022874,      0.7629948126,      0.5590443674,       3.582909525,       -5.25307623
          0,           0,          18,      -1.970395809,      0.7571788715,      0.5399476566,       3.563623032,      -5.261933543
          0,           0,          19,      -1.996083119,      0.7460992682,      0.5160876076,       3.542911585,      -5.270195746
          0,           0,          20,       -2.02129558,      0.7295808447,      0.4871581298,       3.520725371,      -5.278025652
          0,           0,          21,      -2.044837042,      0.7089681905,      0.4562666046,       3.498321991,       -5.28473412
          0,           0,          22,      -2.067418893,      0.6853596879,      0.4288214911,       3.475567233,      -5.291097984
          0,           0,          23,      -2.092212939,      0.6588556498,      0.4082474382,       3.449781592,       -5.29735863
          0,           0,          24,      -2.122738851,      0.6292826161,      0.3924223442,       3.417548523,      -5.303511004
          0,           0,          25,      -2.160322753,       0.597382097,      0.3753306166,       3.377495111,      -5.309378379
          0,           0,          26,      -2.202718331,       0.565377961,      0.3516041195,       3.332158948,      -5.314341182
          0,           0,          27,      -2.244476615,      0.5362864833,      0.3192189419,       3.288000046,      -5.317890704
          0,           0,          28,      -2.279736032,      0.5121170236,      0.2798048266,       3.252229832,      -5.320419704
          0,           0,          29,      -2.306649355,      0.4925062078,      0.2376487291,       3.227078828,      -5.322694139
          0,           0,          30,      -2.328958641,      0.4750525146,      0.1975961207,        3.20767714,      -5.325318294
          0,           0,          31,      -2.352664246,      0.4569811835,      0.1622518865,       3.186508215,      -5.328251455
          0,           0,          32,      -2.381793954,      0.4366832879,      0.1305143502,        3.15863243,      -5.331308329
          0,           0,          33,      -2.416538088,      0.4142379445,     0.09896757178,       3.123643971,      -5.334271931
          0,           0,          34,      -2.453527982,       0.390946438,     0.06462833417,       3.085287446,      -5.337142388
          0,           0,          35,      -2.487733283,      0.3685173101,     0.02676576932,       3.049514687,      -5.339770889
          0,           0,          36,      -2.515611611,      0.3481219011,    -0.01282133591,       3.020931697,      -5.342170087
          0,           0,          37,      -2.537607818,      0.3298645014,    -0.05085516884,       2.999543657,      -5.344456171
          0,           0,          38,      -2.557336583,      0.3130023546,    -0.08456082786,       2.981269719,      -5.346691352
          0,           0,          39,      -2.578787608,      0.2965387993,     -0.1134479225,       2.961281965,      -5.348928504
          0,           0,          40,      -2.604128072,       0.279733599,     -0.1394447981,       2.936732555,      -5.351113306
