"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.5183447797,       1.343727476,      -7.069649774,       5.517699416
          0,           0,           1,     -0.8051686137,       1.282493711,      0.9568431937,        5.23150398
          0,           0,           2,      -1.028265351,       1.104180031,      0.9119455919,       5.010018316
          0,           0,           3,      -1.094005967,      0.8739077239,      0.8183706707,       4.943716744
          0,           0,           4,      -1.144546602,      0.7263337319,      0.7675297552,       4.893065819
          0,           0,           5,      -1.188549883,      0.6283047898,      0.7333643741,       4.848989028
          0,           0,           6,      -1.230259534,      0.5468022816,      0.7034035784,       4.807209199
          0,           0,           7,      -1.271165292,      0.4769220477,      0.6739179053,       4.766217585
          0,           0,           8,      -1.311762755,      0.4182454999,      0.6440478489,       4.725521755
          0,           0,           9,      -1.352009521,      0.3707412657,      0.6140101605,       4.685171516
          0,           0,          10,      -1.391516879,      0.3344438923,      0.5845532125,       4.645569736
          0,           0,          11,        -1.4296196,      0.3090044106,       0.556525942,       4.607394918
          0,           0,          12,      -1.465598219,      0.2929227392,      0.5307794203,       4.571381463
          0,           0,          13,      -1.498809255,        0.28392072,      0.5078944083,       4.538181694
          0,           0,          14,      -1.528984296,      0.2807165577,      0.4878755888,        4.50806516
          0,           0,          15,      -1.556225317,      0.2838727221,      0.4698001163,        4.48092468
          0,           0,          16,      -1.580661937,       0.297600019,      0.4516694298,       4.456628268
          0,           0,          17,      -1.602050824,      0.3295935458,      0.4296433203,       4.435427244
          0,           0,          18,      -1.620645518,      0.3811491992,      0.3969004838,       4.417079574
          0,           0,          19,      -1.639063025,      0.4381244387,      0.3455161481,       4.398963055
          0,           0,          20,       -1.66207574,      0.4811081753,      0.2714001911,       4.376274178
          0,           0,          21,      -1.693498647,      0.4978893322,      0.1855356145,        4.34513972
          0,           0,          22,      -1.732192731,      0.4848835523,      0.1274216888,       4.306584151
          0,           0,          23,      -1.772103657,      0.4448296039,       0.135974037,       4.266512172
