"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -3.616629618,      -4.832849193,      -19.09979868,      -3.477045042,       2.633660864
          0,           0,           1,      -3.676550778,      -2.168473774,       -4.14522564,      -3.532696537,       4.169214376
          0,           0,           2,      -3.690475633,      -2.183453345,      -3.857646771,       -3.55358317,       4.144617999
          0,           0,           3,      -3.704430119,      -2.197737245,      -3.694892633,      -3.334514078,       4.103654041
          0,           0,           4,      -3.717928062,      -2.210374615,      -3.600783479,      -3.169472781,       4.048765013
          0,           0,           5,      -3.731019191,      -2.221423098,      -3.541130905,      -3.097159167,       3.982199039
          0,           0,           6,      -3.743744874,      -2.231405274,      -3.499955494,      -3.069242613,        3.90564903
          0,           0,           7,      -3.756138655,      -2.240561515,        -3.4690432,      -3.067580852,       3.820874864
          0,           0,           8,       -3.76824092,      -2.248853193,      -3.444272335,       -3.08293991,       3.729582575
          0,           0,           9,      -3.779978368,      -2.256479959,      -3.422857454,      -3.109314841,        3.63409483
          0,           0,          10,      -3.791347372,      -2.263554201,      -3.403556588,      -3.142397484,       3.536299685
          0,           0,          11,      -3.802336962,      -2.270176077,      -3.385749666,      -3.178885495,       3.438133149
          0,           0,          12,      -3.812925365,      -2.276436366,       -3.36907195,       -3.21616244,       3.341652287
          0,           0,          13,      -3.823083797,      -2.282415803,      -3.353311251,       -3.25220014,       3.248984375
          0,           0,          14,      -3.832779034,      -2.288185731,      -3.338346974,      -3.285553739,       3.162155121
          0,           0,          15,      -3.841976604,      -2.293808424,      -3.324107119,       -3.31538058,       3.082776754
          0,           0,          16,      -3.850643206,      -2.299337486,      -3.310532242,      -3.341415331,       3.011710635
          0,           0,          17,      -3.858763112,      -2.304773614,       -3.29756919,       -3.36382017,       2.948890664
          0,           0,          18,      -3.866268596,      -2.310107193,      -3.284982413,      -3.382902716,       2.893817792
          0,           0,          19,      -3.873160116,      -2.315362217,      -3.272693811,       -3.39927288,       2.845058642
          0,           0,          20,      -3.879450199,      -2.320557296,      -3.260655652,      -3.413551771,       2.801101655
          0,           0,          21,      -3.885162261,      -2.325705748,      -3.248836532,      -3.426284293,       2.760625221
          0,           0,          22,      -3.890329487,      -2.330816645,      -3.237216168,      -3.437902978,       2.722605587
          0,           0,          23,      -3.894993519,      -2.335895347,      -3.225786774,      -3.448726775,       2.686316018
          0,           0,          24,      -3.899202351,      -2.340943939,      -3.214546741,      -3.458983782,       2.651275563
          0,           0,          25,      -3.903008288,      -2.345961692,       -3.20349817,      -3.468819371,       2.617186494
          0,           0,          26,      -3.906465792,      -2.350945213,      -3.192642273,      -3.478322256,       2.583878647
          0,           0,          27,      -3.909629945,       -2.35588882,      -3.181981939,       -3.48754659,       2.551266052
          0,           0,          28,      -3.912554813,      -2.360786538,      -3.171520164,      -3.496520576,       2.519315431
          0,           0,          29,      -3.915291772,      -2.365631611,      -3.161258087,      -3.505255443,       2.488024332
          0,           0,          30,       -3.91788918,      -2.370416126,      -3.151202006,      -3.513760453,       2.457406201
          0,           0,          31,      -3.920391284,      -2.375132646,      -3.141359015,      -3.522035515,        2.42748047
          0,           0,          32,      -3.922837733,      -2.379774221,       -3.13173592,      -3.530082232,       2.398266174
          0,           0,          33,      -3.925263112,      -2.384334555,      -3.122339211,      -3.537903131,       2.369777887
          0,           0,          34,      -3.927696911,      -2.388808487,      -3.113174294,      -3.545502474,       2.342023695
          0,           0,          35,      -3.930163731,      -2.393191822,      -3.104252769,      -3.552887865,       2.315003775
          0,           0,          36,      -3.932683481,      -2.397481752,      -3.095594563,      -3.560065203,        2.28871051
          0,           0,          37,      -3.935271566,      -2.401677894,      -3.087208121,      -3.567045652,       2.263128944
          0,           0,          38,      -3.937938986,      -2.405780964,      -3.079178347,      -3.573834776,       2.238237652
          0,           0,          39,      -3.940693056,      -2.409793234,      -3.071390742,      -3.580441224,       2.214009899
          0,           0,          40,        -3.9435368,      -2.413718457,       -3.06381719,      -3.586872531,        2.19041517
          0,           0,          41,      -3.946470048,      -2.417561028,      -3.056455078,       -3.59314407,       2.167419202
          0,           0,          42,      -3.949489726,      -2.421326759,      -3.049301604,      -3.599266995,       2.144986751
          0,           0,          43,      -3.952590272,      -2.425022215,      -3.042353443,      -3.605256195,       2.123081962
          0,           0,          44,      -3.955763731,      -2.428653479,      -3.035607081,      -3.611122715,       2.101669411
          0,           0,          45,      -3.959000634,      -2.432228068,      -3.029058588,      -3.616874853,       2.080714923
          0,           0,          46,      -3.962290161,       -2.43575347,       -3.02270414,      -3.622516908,       2.060186098
          0,           0,          47,      -3.965620272,      -2.439236975,      -3.016540284,      -3.628053465,       2.040052819
          0,           0,          48,      -3.968978206,      -2.442685802,      -3.010564315,      -3.633485683,       2.020287492
          0,           0,          49,      -3.972350669,       -2.44610705,      -3.004774376,      -3.638809279,       2.000865124
          0,           0,          50,      -3.975724254,      -2.449506386,      -2.999171425,      -3.644042633,       1.981763445
          0,           0,          51,      -3.979085464,      -2.452889397,      -2.993757898,      -3.649194173,       1.962962815
          0,           0,          52,      -3.982420884,      -2.456260482,      -2.988538915,      -3.654262322,        1.94444607
          0,           0,          53,       -3.98571727,      -2.459624175,      -2.983523687,      -3.659253278,       1.926198342
          0,           0,          54,       -3.98895639,      -2.462979795,       -2.97872518,      -3.664164402,       1.908191713
          0,           0,          55,      -3.992131158,      -2.466318153,      -2.974127654,      -3.668994454,       1.890468699
          0,           0,          56,      -3.995239476,      -2.469635675,      -2.969724065,      -3.673726237,       1.873044716
          0,           0,          57,      -3.998280215,      -2.472933251,      -2.965515146,      -3.678344977,       1.855905266
          0,           0,          58,      -4.001254754,      -2.476210229,      -2.961493748,      -3.682875115,       1.839037327
          0,           0,          59,      -4.004167432,      -2.479465513,      -2.957649121,      -3.687324321,       1.822429594
          0,           0,          60,       -4.00702583,       -2.48269803,      -2.953957511,      -3.691693032,       1.806072007
          0,           0,          61,      -4.009840445,      -2.485906794,      -2.950392256,      -3.695985833,        1.78995655
          0,           0,          62,       -4.01262365,      -2.489090135,       -2.94691774,      -3.700200153,       1.774076255
          0,           0,          63,      -4.015388959,      -2.492246393,      -2.943495131,      -3.704338342,       1.758424453
          0,           0,          64,      -4.018149711,      -2.495373966,      -2.940088429,        -3.7083985,       1.742995183
          0,           0,          65,      -4.020917949,      -2.498471857,      -2.936667845,      -3.712385707,       1.727782719
          0,           0,          66,      -4.023703585,      -2.501538527,      -2.933212406,      -3.716287525,       1.712781971
          0,           0,          67,      -4.026514188,      -2.504572171,      -2.929710341,      -3.720120924,       1.697987964
          0,           0,          68,      -4.029355039,      -2.507572259,      -2.926157267,      -3.723891662,        1.68339593
          0,           0,          69,      -4.032229584,      -2.510538166,       -2.92255563,      -3.727600171,        1.66900145
          0,           0,          70,      -4.035139838,      -2.513469378,      -2.918909881,      -3.731246185,       1.654800602
          0,           0,          71,      -4.038086927,       -2.51636579,      -2.915226869,      -3.734831865,       1.640789946
          0,           0,          72,      -4.041071064,      -2.519227567,      -2.911514816,      -3.738360918,       1.626967033
          0,           0,          73,      -4.044091582,      -2.522055397,      -2.907783294,      -3.741806911,       1.613332267
          0,           0,          74,      -4.047146792,      -2.524849873,      -2.904043345,      -3.745189098,       1.599885182
          0,           0,          75,      -4.050233777,       -2.52761192,      -2.900307626,      -3.748534854,       1.586629662
          0,           0,          76,      -4.053350074,      -2.530341592,      -2.896591444,      -3.751820432,       1.573566139
          0,           0,          77,      -4.056494714,        -2.5330326,       -2.89290478,      -3.755043162,       1.560702082
          0,           0,          78,       -4.05965846,      -2.535676137,      -2.889251201,      -3.758203397,       1.548124295
          0,           0,          79,      -4.062840026,      -2.538270586,      -2.885642438,       -3.76131002,       1.535878239
          0,           0,          80,      -4.066038278,      -2.540815199,      -2.882091593,      -3.764354299,        1.52401538
          0,           0,          81,      -4.069251835,      -2.543310228,      -2.878611872,      -3.767293314,       1.512600756
          0,           0,          82,       -4.07247665,      -2.545754533,      -2.875216761,      -3.770179673,        1.50172398
